{\rtf1\ansi\ansicpg1252\cocoartf1561\cocoasubrtf200
{\fonttbl\f0\fswiss\fcharset0 Helvetica;}
{\colortbl;\red255\green255\blue255;}
{\*\expandedcolortbl;;}
\margl1440\margr1440\vieww10800\viewh8400\viewkind0
\pard\tx720\tx1440\tx2160\tx2880\tx3600\tx4320\tx5040\tx5760\tx6480\tx7200\tx7920\tx8640\pardirnatural\partightenfactor0

\f0\fs24 \cf0         YR/MO/DY        HR:MN:SC        IRR     STD\
        ========        ========        ======  ===\
        89/02/12        06:26:38        1365.6  0.2\
        89/02/24        05:47:42        1365.5  0.2\
        89/03/01        13:09:18        1365.8  0.2\
        89/03/22        12:48:30        1365.3  0.2\
        89/03/29        12:36:46        1365.9  0.1\
        89/04/12        12:05:18        1366.8  0.1\
        89/04/26        12:19:42        1365.9  0\
        89/05/10        11:45:34        1366.7  0\
        89/05/24        11:41:50        1365.9  0.2\
        89/06/02        06:36:14        1365.6  0.1\
        89/06/15        08:10:06        1363.3  0.4\
        89/06/22        13:54:38        1366.1  0.1\
        89/07/06        12:24:30        1365.9  0.2\
        89/07/20        13:21:02        1366.1  0.1\
        89/08/03        13:17:18        1365.5  0.2\
        89/08/15        05:40:14        1365.7  0.1\
        89/08/25        07:55:10        1366.6  0.3\
        89/08/30        12:02:38        1366.2  0.2\
        89/09/13        12:07:58        1365.9  0.1\
        89/09/27        11:30:38        1366.3  0.3\
        89/10/11        12:21:50        1367    0.5\
        89/10/25        13:48:46        1366.6  0.1\
        89/11/08        13:05:34        1366.5  0\
        89/11/23        13:05:34        1365.7  0.4\
        89/11/30        07:58:22        1365.5  0.2\
        89/12/15        07:43:26        1366.4  0.1\
        89/12/20        13:19:58        1365.9  1\
        90/01/03        13:02:21        1366.1  0.4\
        90/01/17        12:10:05        1366    0.4\
        90/01/31        13:44:29        1366.3  0.3\
        90/02/11        07:30:05        1365.6  0.2\
        90/02/22        08:08:29        1365.5  0.2\
        90/02/28        13:45:01        1365.7  0.2\
        90/03/14        11:45:01        1366.2  0.2\
        90/03/28        12:29:17        1366.4  0.3\
        90/04/11        13:12:29        1365.9  0\
        90/04/25        13:04:29        1366.3  0.2\
        90/05/09        12:08:29        1365.9  0.2\
        90/05/24        11:51:25        1366.4  0.3\
        90/05/30        07:53:01        1365.6  0.4\
        90/06/14        09:03:25        1366.6  0.3\
        90/06/20        13:11:57        1366.3  0.6\
        90/07/04        12:58:37        1364.5  0.2\
        90/07/18        13:35:25        1366.6  0.1\
        90/08/01        13:09:17        1366    0\
        90/08/11        06:42:37        1366.7  0.3\
        90/08/23        07:15:41        1364.4  0.3\
        90/08/29        12:52:45        1366.5  0.2\
        90/09/12        12:36:13        1366    0.5\
        90/09/26        13:16:13        1365.8  0.1\
        90/10/10        12:09:01        1365    0.5\
        90/10/24        11:39:41        1365.7  0.3\
        90/11/07        13:50:53        1366.1  0.1\
        90/11/21        13:31:41        1363.6  0.2\
        90/11/28        08:06:21        1365.4  0.3\
        90/12/13        07:32:13        1365.9  0\
        90/12/19        13:09:49        1364.4  0.4\
        91/01/02        07:45:00        1366.3  0.2\
        91/01/16        13:03:24        1364.8  0.2\
        91/01/30        12:43:08        1363.1  0\
        91/02/09        09:20:28        1365.6  0.2\
        91/02/20        09:35:56        1365.8  0.1\
        91/02/27        09:35:56        1365.6  0.1\
        91/03/13        13:04:28        1365.7  0.3\
        91/03/27        11:55:08        1365    0.1\
        91/04/10        12:17:00        1367.6  0.2\
        91/04/24        13:27:24        1366.3  0.1\
        91/05/08        12:11:08        1365    0.4\
        91/05/22        13:00:12        1365.6  0\
        91/05/28        07:17:48        1364.5  0\
        91/06/12        09:42:20        1364.8  0.1\
        91/06/19        12:13:32        1365.7  0.1\
        91/07/03        11:39:40        1366.9  0.1\
        91/07/17        11:55:08        1366.3  0\
        91/07/31        12:44:12        1366.9  0.2\
        91/08/09        07:23:08        1366.5  0.3\
        91/08/21        07:37:00        1364.5  0.2\
        91/08/28        11:45:32        1366.2  0\
        91/09/11        12:44:12        1365.8  0.3\
        91/09/25        11:26:52        1365.9  0.4\
        91/10/09        11:33:16        1366.5  0.1\
        91/10/23        12:19:08        1365.4  0\
        91/11/06        12:31:24        1365.8  0.3\
        91/11/20        11:49:48        1366.3  0.2\
        91/11/26        07:42:20        1365.6  0.1\
        91/12/10        08:13:16        1364.4  0.3\
        91/12/18        12:17:00        1366.1  0\
        92/01/01        11:20:28        1365.6  0.4\
        92/01/15        11:24:44        1366.2  0.3\
        92/01/29        12:17:00        1364.8  0.2\
        92/02/06        08:23:56        1365.7  0.2\
        92/02/18        08:28:12        1365.9  0.4\
        92/02/26        12:31:24        1365.1  0.3\
        92/03/11        13:03:24        1366.2  0.1\
        92/03/23        16:06:52        1366.3  0.2\
        92/03/24        16:14:20        1365.8  0.3\
        92/03/25        13:08:44        1366.2  0.1\
        92/03/26        16:29:16        1365.6  0.2\
        92/03/27        03:44:28        1365.8  0.4\
        92/03/28        03:51:56        1365.2  0.2\
        92/03/29        02:22:20        1364.6  0.2\
        92/03/30        04:05:16        1364.2  0.2\
        92/03/31        13:50:52        1364.9  0.3\
        92/04/01        15:33:48        1365.4  0.2\
        92/04/02        14:03:40        1366    0.1\
        92/04/08        12:22:52        1365.7  0.1\
        92/04/22        12:18:04        1365.5  0.1\
        92/05/06        12:15:24        1365.8  0.2\
        92/05/20        12:43:08        1366.5  0.1\
        92/05/24        08:16:28        1365.3  0.2\
        92/06/08        08:42:36        1365.2  0.1\
        92/06/17        12:50:36        1365.6  0.3\
        92/07/01        11:58:19        1365.7  0.4\
        92/07/15        11:54:03        1365.9  0.2\
        92/08/05        06:37:47        1365.6  0.2\
        92/08/18        08:20:43        1364.3  0.1\
        92/08/26        12:23:55        1366.2  0.1\
        92/09/12        10:13:15        1365.2  0.1\
        92/10/07        12:02:35        1365.5  0.2\
        92/10/21        11:52:59        1364.5  0.1\
        92/11/04        11:49:47        1365.3  0.3\
        92/11/18        12:29:47        1365.7  0.4\
        92/11/22        08:05:47        1365.2  0.3\
        92/12/06        09:58:51        1365.3  0.2\
        92/12/16        12:29:47        1365.8  0.2\
        92/12/30        12:58:03        1365.8  0\
        93/01/13        11:14:03        1365.3  0.3\
        93/01/16        21:10:19        1365.8  0.3\
        93/01/17        19:39:39        1365.6  0.2\
        93/01/18        14:56:27        1366    0.2\
        93/01/19        07:00:11        1365.8  0.1\
        93/01/20        16:02:35        1365.9  0.4\
        93/01/21        12:55:23        1365.9  0.3\
        93/01/22        09:48:11        1365.6  0.2\
        93/01/23        06:41:31        1365.9  0.1\
        93/01/24        03:34:19        1366.1  0.2\
        93/01/25        00:27:39        1365.6  0.2\
        93/01/26        02:03:39        1365.3  0.4\
        93/01/27        11:54:03        1365.2  0.2\
        93/01/28        18:25:31        1365.6  0.1\
        93/01/29        13:43:23        1365.8  0.4\
        93/01/30        12:13:15        1365.4  0.3\
        93/02/01        07:35:55        1365.3  0.1\
        93/02/14        07:39:39        1365.4  0.5\
        93/02/24        11:47:39        1365.1  0\
        93/03/10        12:12:11        1364.8  0.5\
        93/03/24        12:11:07        1365.7  0.3\
        93/04/06        14:22:19        1365.7  0.2\
        93/04/07        09:38:35        1365.1  0\
        93/04/08        12:57:31        1365.6  0.3\
        93/04/09        13:03:23        1365.7  0.4\
        93/04/10        13:09:15        1365.7  0.4\
        93/04/11        13:15:07        1365.8  0.3\
        93/04/12        13:20:59        1365.8  0.4\
        93/04/13        16:39:55        1365.7  0.4\
        93/04/14        13:33:15        1365.6  0.4\
        93/04/15        13:39:39        1365.5  0.1\
        93/04/16        13:46:03        1365.1  0.3\
        93/04/17        13:52:27        1365.5  0.2\
        93/04/18        13:58:51        1365.3  0.2\
        93/04/19        12:29:15        1365.4  0.2\
        93/04/20        14:12:11        1365.2  0.1\
        93/04/21        12:42:35        1365.3  0.3\
        93/04/22        14:25:31        1365.1  0.1\
        93/05/05        12:30:51        1366.2  0\
        93/05/19        12:50:35        1365.4  0.3\
        93/05/21        09:48:11        1365.5  0.2\
        93/06/05        08:30:52        1365.2  0.5\
        93/06/16        11:09:48        1365.3  0\
        93/06/30        11:49:16        1366.1  0\
        93/07/16        05:23:07        1365.6  0\
        93/07/17        07:47:07        1366.1  0\
        93/11/22        21:38:35        1365.4  0.3\
        93/11/23        12:07:55        1365.4  0.3\
        93/11/24        09:07:07        1365.4  0.1\
        93/11/25        12:35:39        1365.2  0.1\
        93/11/26        04:43:39        1365.3  0.3\
        93/11/27        06:26:03        1365.4  0.3\
        93/11/28        08:07:55        1365.6  0.2\
        93/11/29        03:23:39        1365.9  0.3\
        93/11/30        03:28:59        1365.9  0.3\
        93/12/01        05:10:19        1365    0.2\
        93/12/02        03:39:07        1365.2  0.1\
        93/12/03        03:44:27        1365    0.3\
        93/12/04        02:13:15        1365.3  0.1\
        93/12/05        03:54:35        1365.2  0.1\
        93/12/06        13:37:31        1365    0\
        93/12/08        15:24:43        1365.3  0.5\
        93/12/13        11:01:15        1364.9  0.3\
        93/12/20        23:36:27        1365.8  0.2\
        93/12/22        12:32:59        1365.8  0\
        94/01/05        10:44:43        1365.2  0.3\
        94/01/11        09:43:23        1365.5  0.1\
        94/01/20        05:01:47        1365.2  0.1\
        94/02/11        13:56:43        1364.5  0.3\
        94/02/21        03:34:19        1365.4  0.3\
        94/02/27        20:51:07        1366    0.4\
        94/03/17        19:28:27        1365    0.6\
        94/04/04        22:26:19        1364.6  0\
        94/04/13        10:08:59        1364.7  0.4\
        94/04/27        11:35:23        1365    0.9\
        94/05/01        15:09:47        1364.4  0\
        94/05/08        21:17:15        1364.9  0.1\
        94/05/11        11:54:35        1365.3  0.3\
        94/05/18        12:28:43        1365.2  0.1\
        94/06/01        12:39:23        1364.7  0.2\
        94/06/08        11:42:51        1364.5  0\
        94/06/17        05:23:07        1365.7  0\
        94/06/22        12:15:55        1364.8  0.4\
        94/07/11        09:18:50        1364.5  0.3\
        94/07/20        12:23:54        1364.8  0.3\
        94/07/29        21:11:54        1365.1  0.4\
        94/08/10        11:28:26        1364.5  0.2\
        94/08/17        18:34:34        1365    0.5\
        94/08/21        15:43:54        1364.5  0\
        94/08/26        15:27:22        1365    0\
        94/08/31        20:44:42        1364.5  0\
        94/09/14        07:46:02        1365.3  0.7\
        94/09/26        12:06:18        1364.6  0.5\
        94/10/01        05:12:58        1365.8  0.1\
        94/10/12        09:27:22        1365.2  0\
        94/10/26        15:43:54        1365    0.4\
        94/11/04        22:14:50        1365.7  0.8\
        94/11/05        22:20:10        1365.4  0.2\
