ACRIM2/UARS
Version: 
Created: 08-Jun-2022
JD        Value 
2448533.5 1363.489000
2448534.5 1364.022000
2448535.5 1364.659000
2448536.5 1365.151000
2448537.5 1365.241000
2448538.5 1365.571000
2448539.5 1365.547000
2448540.5 1365.581000
2448541.5 1365.284000
2448542.5 1365.185000
2448543.5 1365.096000
2448544.5 1365.053000
2448545.5 1365.132000
2448546.5 1365.313000
2448547.5 1365.489000
2448548.5 1365.618000
2448549.5 1365.473000
2448550.5 1365.365000
2448551.5 1365.278000
2448552.5 1364.882000
2448553.5 1364.183000
2448554.5 1363.567000
2448555.5 1362.993000
2448556.5 1362.579000
2448557.5 1362.502000
2448558.5 1362.744000
2448559.5 1363.142000
2448560.5 1363.760000
2448561.5 1364.649000
2448562.5 1365.481000
2448563.5 1365.587000
2448564.5 1365.474000
2448565.5 1365.160000
2448566.5 1364.995000
2448567.5 1365.146000
2448568.5 1365.190000
2448569.5 1365.279000
2448570.5 1365.249000
2448571.5 1364.852000
2448572.5 1364.730000
2448573.5 1364.881000
2448574.5 1365.042000
2448575.5 1365.266000
2448576.5 1365.348000
2448577.5 1365.421000
2448578.5 1365.553000
2448579.5 1365.564000
2448580.5 1365.584000
2448581.5 1365.482000
2448582.5 1365.438000
2448583.5 1365.304000
2448584.5 1365.272000
2448585.5 1365.235000
2448586.5 1365.081000
2448587.5 1365.127000
2448588.5 1365.077000
2448589.5 1365.055000
2448590.5 1365.053000
2448591.5 1365.048000
2448592.5 1365.191000
2448593.5 1365.165000
2448594.5 1365.129000
2448595.5 1364.844000
2448596.5 1364.778000
2448597.5 1364.653000
2448598.5 1364.613000
2448599.5 1364.119000
2448600.5 1363.957000
2448601.5 1364.185000
2448602.5 1364.380000
2448603.5 1364.457000
2448604.5 1364.325000
2448605.5 1363.643000
2448606.5 1364.110000
2448607.5 1364.481000
2448608.5 1364.799000
2448609.5 1364.883000
2448610.5 1364.631000
2448611.5 1364.425000
2448612.5 1363.982000
2448613.5 1363.783000
2448614.5 1363.734000
2448615.5 1363.484000
2448616.5 1363.200000
2448617.5 1362.867000
2448618.5 1362.906000
2448619.5 1363.048000
2448620.5 1363.741000
2448622.5 1364.352000
2448622.5 1364.740000
2448623.5 1364.906000
2448624.5 1364.571000
2448625.5 1364.367000
2448626.5 1364.147000
2448627.5 1363.993000
2448628.5 1364.042000
2448629.5 1364.332000
2448630.5 1364.635000
2448631.5 1364.925000
2448632.5 1365.200000
2448633.5 1365.439000
2448634.5 1365.452000
2448635.5 1365.124000
2448636.5 1365.439000
2448637.5 1365.383000
2448638.5 1365.395000
2448639.5 1365.471000
2448640.5 1365.583000
2448641.5 1365.546000
2448642.5 1365.580000
2448643.5 1365.568000
2448644.5 1365.432000
2448645.5 1365.289000
2448646.5 1365.267000
2448647.5 1365.080000
2448648.5 1364.572000
2448649.5 1364.300000
2448650.5 1364.162000
2448651.5 1363.890000
2448652.5 1363.846000
2448653.5 1364.204000
2448654.5 1364.346000
2448655.5 1364.302000
2448656.5 1364.660000
2448657.5 1364.859000
2448658.5 1365.051000
2448659.5 1365.291000
2448660.5 1365.471000
2448661.5 1365.424000
2448662.5 1364.972000
2448663.5 1364.793000
2448664.5 1364.794000
2448665.5 1364.898000
2448666.5 1364.983000
2448667.5 1364.720000
2448668.5 1364.874000
2448669.5 1365.159000
2448670.5 1365.392000
2448671.5 1365.741000
2448672.5 1365.821000
2448673.5 1365.580000
2448674.5 1365.158000
2448675.5 1364.752000
2448676.5 1364.403000
2448677.5 1364.050000
2448678.5 1364.156000
2448679.5 1364.319000
2448680.5 1364.722000
2448681.5 1365.250000
2448682.5 1365.589000
2448683.5 1365.918000
2448684.5 1365.919000
2448685.5 1365.765000
2448686.5 1365.635000
2448687.5 1365.572000
2448688.5 1365.580000
2448689.5 1365.518000
2448690.5 1365.392000
2448691.5 1365.391000
2448692.5 1365.514000
2448693.5 1365.645000
2448694.5 1365.577000
2448695.5 1365.411000
2448696.5 1365.309000
2448697.5 1365.442000
2448698.5 1365.597000
2448699.5 1365.823000
2448700.5 1365.834000
2448701.5 1365.786000
2448702.5 1365.703000
2448703.5 1365.544000
2448704.5 1365.563000
2448705.5 1365.649000
2448706.5 1365.439000
2448707.5 1365.140000
2448708.5 1364.716000
2448709.5 1364.278000
2448710.5 1363.745000
2448711.5 1363.804000
2448712.5 1364.141000
2448713.5 1364.603000
2448714.5 1365.136000
2448715.5 1365.280000
2448716.5 1365.111000
2448717.5 1364.969000
2448718.5 1364.946000
2448719.5 1364.986000
2448720.5 1365.061000
2448721.5 1365.113000
2448722.5 1365.166000
2448723.5 1365.120000
2448724.5 1365.143000
2448725.5 1365.118000
2448726.5 1365.139000
2448727.5 1365.248000
2448728.5 1365.334000
2448729.5 1365.149000
2448730.5 1365.051000
2448731.5 1365.256000
2448732.5 1365.273000
2448733.5 1365.392000
2448734.5 1365.209000
2448735.5 1365.251000
2448736.5 1365.318000
2448737.5 1365.359000
2448738.5 1365.360000
2448739.5 1365.366000
2448740.5 1365.464000
2448741.5 1365.289000
2448742.5 1365.071000
2448743.5 1364.966000
2448744.5 1364.869000
2448745.5 1364.992000
2448746.5 1364.976000
2448747.5 1364.918000
2448748.5 1364.825000
2448749.5 1364.814000
2448750.5 1364.742000
2448751.5 1364.714000
2448752.5 1364.806000
2448753.5 1365.025000
2448754.5 1365.214000
2448755.5 1365.389000
2448756.5 1365.358000
2448757.5 1365.363000
2448758.5 1365.461000
2448759.5 1365.580000
2448760.5 1365.614000
2448761.5 1365.405000
2448762.5 1365.124000
2448763.5 1364.903000
2448764.5 1364.738000
2448765.5 1364.731000
2448766.5 1364.808000
2448767.5 1364.905000
2448768.5 1364.898000
2448769.5 1365.017000
2448770.5 1365.018000
2448771.5 1364.958000
2448772.5 1364.902000
2448773.5 1364.820000
2448774.5 1364.808000
2448775.5 1364.700000
2448825.5 1364.724000
2448826.5 1364.565000
2448827.5 1364.435000
2448828.5 1364.383000
2448829.5 1364.420000
2448830.5 1364.395000
2448831.5 1364.246000
2448832.5 1364.257000
2448833.5 1364.233000
2448834.5 1364.242000
2448835.5 1364.378000
2448836.5 1364.416000
2448837.5 1364.493000
2448838.5 1364.620000
2448839.5 1364.784000
2448840.5 1364.698000
2448841.5 1364.530000
2448842.5 1364.655000
2448843.5 1364.844000
2448844.5 1365.030000
2448845.5 1365.042000
2448846.5 1364.978000
2448847.5 1364.844000
2448848.5 1364.472000
2448849.5 1364.264000
2448850.5 1363.997000
2448851.5 1363.753000
2448852.5 1363.578000
2448853.5 1363.359000
2448854.5 1363.379000
2448855.5 1363.844000
2448856.5 1364.283000
2448857.5 1364.571000
2448858.5 1364.678000
2448859.5 1364.655000
2448860.5 1364.591000
2448861.5 1364.549000
2448862.5 1364.532000
2448863.5 1364.686000
2448864.5 1364.704000
2448865.5 1364.725000
2448866.5 1364.699000
2448867.5 1364.588000
2448868.5 1364.603000
2448869.5 1364.581000
2448870.5 1364.436000
2448871.5 1364.268000
2448872.5 1364.469000
2448873.5 1364.826000
2448874.5 1364.869000
2448875.5 1364.776000
2448876.5 1364.728000
2448877.5 1364.673000
2448879.5 1364.655000
2448880.5 1364.664000
2448881.5 1364.498000
2448882.5 1364.616000
2448884.5 1364.852000
2448885.5 1364.804000
2448886.5 1364.399000
2448887.5 1364.352000
2448888.5 1364.323000
2448889.5 1364.440000
2448890.5 1364.423000
2448891.5 1364.525000
2448892.5 1364.323000
2448893.5 1364.109000
2448894.5 1364.138000
2448895.5 1364.188000
2448896.5 1364.298000
