ERBE/ERBS
Version: 
Created: 08-Jun-2022
JD        Value 
2445998.5 1364.800000
2445999.5 1365.400000
2446002.5 1365.200000
2446005.5 1366.000000
2446009.5 1365.400000
2446016.5 1365.300000
2446024.5 1365.300000
2446030.5 1364.800000
2446037.5 1365.300000
2446044.5 1365.400000
2446051.5 1365.500000
2446062.5 1364.900000
2446074.5 1365.100000
2446088.5 1365.100000
2446102.5 1365.500000
2446116.5 1364.800000
2446130.5 1364.900000
2446144.5 1364.900000
2446158.5 1364.500000
2446172.5 1364.900000
2446186.5 1364.100000
2446193.5 1364.200000
2446214.5 1364.200000
2446234.5 1364.800000
2446242.5 1364.700000
2446256.5 1363.700000
2446270.5 1364.300000
2446284.5 1365.100000
2446298.5 1364.500000
2446312.5 1364.500000
2446326.5 1364.700000
2446340.5 1364.600000
2446354.5 1364.900000
2446359.5 1365.300000
2446369.5 1365.700000
2446382.5 1365.100000
2446396.5 1364.700000
2446417.5 1364.600000
2446424.5 1364.800000
2446438.5 1365.100000
2446452.5 1365.100000
2446466.5 1364.200000
2446476.5 1364.500000
2446487.5 1364.800000
2446494.5 1364.700000
2446508.5 1364.400000
2446522.5 1364.800000
2446536.5 1364.200000
2446550.5 1364.600000
2446564.5 1364.700000
2446578.5 1364.400000
2446585.5 1364.400000
2446600.5 1364.700000
2446606.5 1364.300000
2446620.5 1364.300000
2446634.5 1365.300000
2446659.5 1364.600000
2446670.5 1364.400000
2446676.5 1364.900000
2446690.5 1364.700000
2446704.5 1364.600000
2446718.5 1364.600000
2446732.5 1364.800000
2446746.5 1364.700000
2446760.5 1364.500000
2446768.5 1364.800000
2446782.5 1364.500000
2446788.5 1364.500000
2446802.5 1365.000000
2446816.5 1365.900000
2446841.5 1364.700000
2446852.5 1364.700000
2446858.5 1364.700000
2446872.5 1365.000000
2446886.5 1364.600000
2446914.5 1364.600000
2446928.5 1365.400000
2446942.5 1364.900000
2446949.5 1364.900000
2446964.5 1364.900000
2446970.5 1364.400000
2446984.5 1365.300000
2446998.5 1365.000000
2447012.5 1364.900000
2447019.5 1364.800000
2447035.5 1365.100000
2447040.5 1364.900000
2447047.5 1364.900000
2447054.5 1365.400000
2447068.5 1364.600000
2447082.5 1364.400000
2447096.5 1364.900000
2447110.5 1365.400000
2447124.5 1365.300000
2447147.5 1365.400000
2447152.5 1365.800000
2447166.5 1365.700000
2447180.5 1364.600000
2447194.5 1365.200000
2447205.5 1364.900000
2447216.5 1365.400000
2447222.5 1365.000000
2447236.5 1365.200000
2447249.5 1365.000000
2447264.5 1365.200000
2447278.5 1365.100000
2447292.5 1365.800000
2447306.5 1364.800000
2447314.5 1365.400000
2447329.5 1365.800000
2447334.5 1365.200000
2447348.5 1365.700000
2447362.5 1365.300000
2447376.5 1365.400000
2447388.5 1365.000000
2447399.5 1365.700000
2447404.5 1364.800000
2447418.5 1365.900000
2447432.5 1365.500000
2447446.5 1365.500000
2447460.5 1365.200000
2447474.5 1365.200000
2447488.5 1365.700000
2447497.5 1365.400000
2447511.5 1365.100000
2447516.5 1364.500000
2447531.5 1366.400000
2447544.5 1366.000000
2447558.5 1366.100000
2447569.5 1365.600000
2447581.5 1365.500000
2447586.5 1365.800000
2447607.5 1365.300000
