TSIS-1
Version: v3L3
Created: 11-Dec-2024
JD        Value 
2458131.5 1361.657900
2458132.5 1361.621900
2458133.5 NaN
2458134.5 NaN
2458135.5 NaN
2458136.5 NaN
2458137.5 NaN
2458138.5 NaN
2458139.5 1361.649700
2458140.5 NaN
2458141.5 1361.586100
2458142.5 1361.551000
2458143.5 1361.514500
2458144.5 1361.525100
2458145.5 1361.464000
2458146.5 1361.442800
2458147.5 1361.395400
2458148.5 1361.379900
2458149.5 1361.519700
2458150.5 1361.590000
2458151.5 1361.613300
2458152.5 1361.608700
2458153.5 1361.590900
2458154.5 1361.579400
2458155.5 1361.453100
2458156.5 1361.415000
2458157.5 1361.496500
2458158.5 1361.401200
2458159.5 1361.322900
2458160.5 1361.311600
2458161.5 1361.323000
2458162.5 1361.428300
2458163.5 NaN
2458164.5 1361.630500
2458165.5 1361.663400
2458166.5 1361.581600
2458167.5 1361.538000
2458168.5 1361.491000
2458169.5 1361.489800
2458170.5 1361.539300
2458171.5 1361.516200
2458172.5 1361.525100
2458173.5 1361.509100
2458174.5 1361.527100
2458175.5 1361.520900
2458176.5 1361.488000
2458177.5 1361.496300
2458178.5 NaN
2458179.5 1361.445900
2458180.5 1361.428200
2458181.5 1361.398500
2458182.5 1361.368200
2458183.5 NaN
2458184.5 NaN
2458185.5 1361.600800
2458186.5 1361.586100
2458187.5 1361.582100
2458188.5 1361.575600
2458189.5 1361.458900
2458190.5 1361.453000
2458191.5 1361.469800
2458192.5 1361.522900
2458193.5 1361.473100
2458194.5 1361.395600
2458195.5 1361.440100
2458196.5 1361.524000
2458197.5 1361.533400
2458198.5 1361.513300
2458199.5 1361.516000
2458200.5 1361.526600
2458201.5 1361.553500
2458202.5 NaN
2458203.5 NaN
2458204.5 1361.472700
2458205.5 1361.504600
2458206.5 1361.435000
2458207.5 1361.507300
2458208.5 1361.422900
2458209.5 1361.496900
2458210.5 1361.459100
2458211.5 1361.462900
2458212.5 1361.407500
2458213.5 1361.430000
2458214.5 1361.581900
2458215.5 1361.593400
2458216.5 1361.596000
2458217.5 1361.595200
2458218.5 1361.593900
2458219.5 1361.577700
2458220.5 1361.551100
2458221.5 1361.544300
2458222.5 1361.537000
2458223.5 1361.551200
2458224.5 1361.549700
2458225.5 1361.529700
2458226.5 NaN
2458227.5 NaN
2458228.5 NaN
2458229.5 NaN
2458230.5 NaN
2458231.5 NaN
2458232.5 NaN
2458233.5 NaN
2458234.5 NaN
2458235.5 NaN
2458236.5 NaN
2458237.5 NaN
2458238.5 NaN
2458239.5 NaN
2458240.5 1361.496000
2458241.5 1361.511600
2458242.5 1361.530300
2458243.5 1361.518900
2458244.5 1361.547100
2458245.5 1361.565300
2458246.5 1361.556700
2458247.5 1361.585500
2458248.5 1361.624200
2458249.5 1361.629300
2458250.5 1361.609500
2458251.5 1361.617100
2458252.5 1361.583100
2458253.5 1361.602600
2458254.5 1361.577600
2458255.5 1361.568000
2458256.5 1361.591300
2458257.5 1361.612200
2458258.5 1361.590500
2458259.5 NaN
2458260.5 NaN
2458261.5 NaN
2458262.5 1361.565500
2458263.5 1361.528300
2458264.5 1361.699300
2458265.5 1361.685200
2458266.5 1361.667800
2458267.5 1361.579100
2458268.5 1361.567700
2458269.5 1361.594900
2458270.5 1361.587900
2458271.5 1361.649900
2458272.5 1361.682600
2458273.5 1361.726400
2458274.5 1361.640300
2458275.5 1361.611500
2458276.5 1361.565900
2458277.5 1361.584800
2458278.5 NaN
2458279.5 1361.556500
2458280.5 1361.546200
2458281.5 1361.582100
2458282.5 1361.604100
2458283.5 1361.643500
2458284.5 1361.643600
2458285.5 1361.610600
2458286.5 1361.580600
2458287.5 1361.584500
2458288.5 1361.549600
2458289.5 1361.554500
2458290.5 1361.498500
2458291.5 1361.513400
2458292.5 1361.584300
2458293.5 1361.570600
2458294.5 1361.582000
2458295.5 1361.615800
2458296.5 1361.657400
2458297.5 1361.668000
2458298.5 1361.640400
2458299.5 1361.621300
2458300.5 1361.594000
2458301.5 1361.565300
2458302.5 1361.521100
2458303.5 1361.492900
2458304.5 1361.519400
2458305.5 1361.526600
2458306.5 1361.515200
2458307.5 1361.534600
2458308.5 1361.593900
2458309.5 1361.604000
2458310.5 NaN
2458311.5 NaN
2458312.5 1361.666800
2458313.5 1361.637200
2458314.5 1361.616500
2458315.5 1361.642800
2458316.5 1361.700900
2458317.5 1361.746600
2458318.5 1361.798200
2458319.5 NaN
2458320.5 NaN
2458321.5 NaN
2458322.5 1361.633800
2458323.5 1361.614200
2458324.5 1361.603500
2458325.5 1361.563600
2458326.5 1361.584200
2458327.5 1361.570600
2458328.5 1361.546700
2458329.5 1361.552600
2458330.5 1361.576500
2458331.5 1361.582900
2458332.5 1361.563500
2458333.5 1361.564400
2458334.5 1361.529200
2458335.5 1361.580000
2458336.5 1361.619500
2458337.5 1361.627900
2458338.5 1361.652700
2458339.5 1361.642300
2458340.5 1361.634500
2458341.5 1361.610400
2458342.5 1361.570700
2458343.5 1361.610200
2458344.5 1361.650600
2458345.5 1361.626200
2458346.5 1361.629900
2458347.5 1361.589500
2458348.5 1361.546600
2458349.5 1361.562100
2458350.5 1361.575500
2458351.5 1361.582600
2458352.5 1361.571200
2458353.5 1361.568800
2458354.5 1361.589100
2458355.5 1361.528500
2458356.5 1361.461700
2458357.5 1361.553800
2458358.5 1361.571700
2458359.5 1361.563200
2458360.5 1361.543800
2458361.5 1361.473000
2458362.5 1361.614600
2458363.5 1361.596200
2458364.5 1361.603600
2458365.5 1361.625000
2458366.5 1361.590200
2458367.5 1361.568700
2458368.5 NaN
2458369.5 1361.556400
2458370.5 1361.565200
2458371.5 1361.585700
2458372.5 1361.616900
2458373.5 1361.606300
2458374.5 1361.614600
2458375.5 1361.616300
2458376.5 1361.608200
2458377.5 1361.605600
2458378.5 1361.609300
2458379.5 1361.607700
2458380.5 1361.594200
2458381.5 1361.556800
2458382.5 1361.546300
2458383.5 1361.543300
2458384.5 1361.546100
2458385.5 1361.529500
2458386.5 1361.512600
2458387.5 1361.517600
2458388.5 1361.542400
2458389.5 1361.523900
2458390.5 1361.584300
2458391.5 1361.550800
2458392.5 1361.552200
2458393.5 1361.553100
2458394.5 1361.577200
2458395.5 1361.576900
2458396.5 1361.592300
2458397.5 1361.575200
2458398.5 1361.586100
2458399.5 1361.597700
2458400.5 1361.594100
2458401.5 1361.552300
2458402.5 1361.562500
2458403.5 1361.537700
2458404.5 1361.620600
2458405.5 NaN
2458406.5 1361.625500
2458407.5 1361.613000
2458408.5 1361.586800
2458409.5 1361.583200
2458410.5 1361.559600
2458411.5 1361.564500
2458412.5 1361.561000
2458413.5 1361.573300
2458414.5 1361.552700
2458415.5 1361.536500
2458416.5 1361.532700
2458417.5 1361.546400
2458418.5 1361.559300
2458419.5 1361.580400
2458420.5 1361.545700
2458421.5 1361.556100
2458422.5 1361.532400
2458423.5 1361.560300
2458424.5 1361.562000
2458425.5 NaN
2458426.5 1361.556100
2458427.5 1361.559200
2458428.5 1361.534000
2458429.5 1361.523300
2458430.5 1361.535100
2458431.5 1361.513700
2458432.5 1361.537700
2458433.5 1361.534700
2458434.5 1361.525600
2458435.5 1361.528100
2458436.5 1361.515600
2458437.5 1361.513500
2458438.5 1361.518200
2458439.5 1361.551900
2458440.5 1361.542700
2458441.5 1361.556500
2458442.5 NaN
2458443.5 1361.542500
2458444.5 1361.529400
2458445.5 1361.568000
