VIRGO/SOHO
Version: V8_20220105
Created: 08-Jun-2022
JD        Value 
2450100.5 1360.566000
2450101.5 1360.531000
2450102.5 1360.515000
2450103.5 1360.511000
2450104.5 1360.514000
2450105.5 1360.532000
2450106.5 1360.531000
2450107.5 1360.519000
2450108.5 1360.531000
2450110.5 1360.532000
2450111.5 1360.519000
2450112.5 1360.517000
2450113.5 1360.516000
2450114.5 1360.539000
2450115.5 1360.541000
2450116.5 1360.516000
2450117.5 1360.494000
2450118.5 1360.475000
2450119.5 1360.471000
2450120.5 1360.475000
2450121.5 1360.487000
2450122.5 1360.497000
2450123.5 1360.491000
2450124.5 1360.509000
2450135.5 1360.507000
2450136.5 1360.441000
2450137.5 1360.443000
2450138.5 1360.456000
2450139.5 1360.472000
2450140.5 1360.486000
2450141.5 1360.491000
2450142.5 1360.461000
2450143.5 1360.421000
2450144.5 1360.403000
2450145.5 1360.386000
2450146.5 1360.386000
2450147.5 1360.391000
2450148.5 1360.433000
2450149.5 1360.455000
2450150.5 1360.446000
2450151.5 1360.424000
2450152.5 1360.392000
2450153.5 1360.362000
2450154.5 1360.335000
2450155.5 1360.343000
2450156.5 1360.371000
2450157.5 1360.414000
2450158.5 1360.457000
2450159.5 1360.475000
2450160.5 1360.477000
2450161.5 1360.475000
2450162.5 1360.457000
2450163.5 1360.406000
2450164.5 1360.351000
2450165.5 1360.323000
2450166.5 1360.316000
2450167.5 1360.371000
2450168.5 1360.427000
2450169.5 1360.497000
2450170.5 1360.517000
2450171.5 1360.483000
2450172.5 1360.456000
2450173.5 1360.431000
2450174.5 1360.436000
2450175.5 1360.451000
2450176.5 1360.472000
2450177.5 1360.484000
2450178.5 1360.461000
2450179.5 1360.426000
2450180.5 1360.421000
2450181.5 1360.415000
2450182.5 1360.437000
2450183.5 1360.461000
2450184.5 1360.504000
2450185.5 1360.532000
2450186.5 1360.546000
2450187.5 1360.519000
2450188.5 1360.441000
2450189.5 1360.393000
2450190.5 1360.371000
2450191.5 1360.381000
2450192.5 1360.406000
2450193.5 1360.402000
2450194.5 1360.381000
2450195.5 1360.365000
2450196.5 1360.346000
2450197.5 1360.345000
2450198.5 1360.345000
2450199.5 1360.378000
2450200.5 1360.408000
2450201.5 1360.451000
2450202.5 1360.482000
2450203.5 1360.512000
2450204.5 1360.525000
2450205.5 1360.519000
2450206.5 1360.519000
2450207.5 1360.527000
2450208.5 1360.587000
2450209.5 1360.674000
2450210.5 1360.735000
2450211.5 1360.775000
2450212.5 1360.749000
2450213.5 1360.701000
2450214.5 1360.656000
2450215.5 1360.617000
2450216.5 1360.629000
2450217.5 1360.649000
2450218.5 1360.691000
