PREMOS/PICARD
Version: v2
Created: 08-Jun-2022
JD        Value 
2455404.5 1360.891550
2455405.5 1360.960129
2455406.5 1360.971303
2455407.5 1360.908946
2455414.5 1360.703770
2455445.5 1360.927363
2455446.5 1360.969951
2455447.5 1361.013707
2455448.5 1360.943953
2455449.5 1360.921451
2455450.5 1360.982833
2455451.5 1361.031854
2455452.5 1361.012428
2455453.5 1360.988910
2455454.5 1360.947900
2455455.5 1360.906779
2455456.5 1360.899192
2455457.5 1360.927108
2455458.5 1360.928044
2455459.5 1360.962942
2455460.5 1360.956717
2455461.5 1360.931903
2455462.5 1360.828722
2455463.5 1360.680064
2455464.5 1360.625621
2455465.5 1360.559187
2455466.5 1360.590863
2455467.5 1360.620902
2455468.5 1360.647283
2455469.5 1360.735175
2455470.5 1360.780328
2455471.5 1360.823960
2455472.5 1360.815994
2455473.5 1360.804058
2455474.5 1360.770384
2455475.5 1360.764060
2455476.5 1360.747672
2455477.5 1360.771221
2455478.5 1360.841812
2455479.5 1360.878852
2455480.5 1360.874711
2455481.5 1360.870499
2455482.5 1360.895132
2455483.5 1360.926657
2455484.5 1360.906865
2455485.5 1360.877464
2455486.5 1360.852578
2455487.5 1360.891020
2455488.5 1360.918316
2455489.5 1360.880884
2455490.5 1360.795706
2455491.5 1360.785193
2455492.5 1360.798659
2455493.5 1360.736545
2455494.5 1360.686311
2455495.5 1360.568017
2455496.5 1360.493802
2455497.5 1360.493661
2455498.5 1360.594016
2455499.5 1360.732260
2455500.5 1360.789664
2455501.5 1360.767484
2455502.5 1360.762967
2455503.5 1360.762145
2455504.5 1360.829393
2455505.5 1360.923141
2455506.5 1361.022500
2455507.5 1361.011340
2455508.5 1361.070682
2455509.5 1361.087545
2455510.5 1361.043404
2455511.5 1360.997353
2455512.5 1360.964508
2455513.5 1360.957916
2455514.5 1360.924321
2455515.5 1360.831405
2455516.5 1360.862123
2455517.5 1360.896280
2455518.5 1360.934565
2455519.5 1360.933200
2455520.5 1360.881376
2455521.5 1360.875727
2455522.5 1360.882269
2455523.5 1360.861995
2455524.5 1360.851943
2455525.5 1360.831170
2455526.5 1360.805244
2455527.5 1360.768083
2455528.5 1360.730805
2455529.5 1360.529063
2455530.5 1360.406110
2455531.5 1360.378689
2455532.5 1360.547316
2455533.5 1360.891793
2455534.5 1360.849239
2455535.5 1360.736867
2455536.5 1360.643844
2455537.5 1360.562821
2455538.5 1360.550038
2455539.5 1360.516567
2455540.5 1360.588017
2455541.5 1360.675323
2455542.5 1360.848016
2455543.5 1361.002162
2455544.5 1361.046246
2455545.5 1361.049869
2455546.5 1360.991299
2455547.5 1360.944513
