SILSO
Version: v2
Created: 03-Nov-2024
JD        Value 
2443825.5 117.100000
2443856.5 134.600000
2443886.5 99.700000
2443917.5 82.400000
2443948.5 195.700000
2443978.5 177.100000
2444009.5 138.500000
2444039.5 173.900000
2444070.5 235.900000
2444101.5 194.700000
2444129.5 195.300000
2444160.5 143.700000
2444190.5 190.300000
2444221.5 211.700000
2444251.5 225.700000
2444282.5 201.400000
2444313.5 266.900000
2444343.5 263.600000
2444374.5 259.500000
2444404.5 249.600000
2444436.5 226.100000
2444467.5 219.400000
2444496.5 178.700000
2444527.5 232.200000
2444557.5 254.700000
2444588.5 222.700000
2444618.5 192.900000
2444649.5 191.700000
2444680.5 219.600000
2444710.5 233.300000
2444741.5 209.500000
2444771.5 246.900000
2444802.5 156.600000
2444833.5 189.900000
2444861.5 196.600000
2444892.5 225.300000
2444922.5 194.700000
2444953.5 131.600000
2444983.5 205.300000
2445014.5 242.500000
2445045.5 245.300000
2445075.5 216.200000
2445106.5 186.000000
2445136.5 195.400000
2445167.5 149.800000
2445198.5 230.900000
2445226.5 221.100000
2445257.5 170.300000
2445287.5 119.300000
2445318.5 163.700000
2445348.5 139.400000
2445379.5 161.900000
2445410.5 167.400000
2445440.5 134.300000
2445471.5 127.500000
2445501.5 169.000000
2445532.5 115.500000
2445563.5 73.100000
2445591.5 88.700000
2445622.5 109.600000
2445652.5 132.500000
2445683.5 131.500000
2445713.5 108.900000
2445744.5 96.000000
2445775.5 69.900000
2445805.5 72.500000
2445836.5 45.700000
2445866.5 45.600000
2445897.5 74.800000
2445928.5 110.200000
2445957.5 116.700000
2445988.5 90.400000
2446018.5 96.900000
2446049.5 65.100000
2446079.5 55.700000
2446110.5 35.000000
2446141.5 22.600000
2446171.5 12.600000
2446202.5 26.500000
2446232.5 21.400000
2446263.5 17.800000
2446294.5 20.700000
2446322.5 16.900000
2446353.5 20.400000
2446383.5 32.400000
2446414.5 28.300000
2446444.5 39.900000
2446475.5 10.100000
2446506.5 4.300000
2446536.5 22.000000
2446567.5 17.900000
2446597.5 15.800000
2446628.5 2.800000
2446659.5 27.900000
2446687.5 13.800000
2446718.5 22.400000
2446748.5 16.100000
2446779.5 0.600000
2446809.5 18.100000
2446840.5 9.900000
2446871.5 5.100000
2446901.5 40.100000
2446932.5 15.400000
2446962.5 5.800000
2446993.5 9.800000
2447024.5 3.400000
2447052.5 17.400000
2447083.5 46.000000
2447113.5 39.100000
2447144.5 18.800000
2447174.5 38.200000
2447205.5 47.900000
2447236.5 42.200000
2447266.5 63.400000
2447297.5 48.800000
2447327.5 29.100000
2447358.5 70.500000
2447389.5 45.400000
2447418.5 91.200000
2447449.5 108.800000
2447479.5 74.200000
2447510.5 124.300000
2447540.5 131.400000
2447571.5 139.400000
2447602.5 142.700000
2447632.5 156.500000
2447663.5 156.800000
2447693.5 231.200000
2447724.5 210.100000
2447755.5 208.700000
2447783.5 170.400000
2447814.5 166.300000
2447844.5 195.400000
2447875.5 284.500000
2447905.5 180.500000
2447936.5 232.000000
2447967.5 225.100000
2447997.5 212.200000
2448028.5 238.200000
2448058.5 211.400000
2448090.5 227.400000
2448121.5 171.800000
2448149.5 191.700000
2448180.5 189.700000
2448210.5 175.200000
2448241.5 153.300000
2448271.5 191.100000
2448302.5 252.100000
2448333.5 169.100000
2448363.5 199.400000
2448394.5 178.800000
2448424.5 197.100000
2448455.5 195.300000
2448486.5 240.300000
2448514.5 197.000000
2448545.5 197.600000
2448575.5 166.900000
2448606.5 224.700000
2448636.5 240.200000
2448667.5 240.800000
2448698.5 168.900000
2448728.5 197.100000
2448759.5 159.500000
2448789.5 212.600000
2448820.5 198.300000
2448851.5 230.700000
2448880.5 151.000000
2448911.5 142.200000
2448941.5 94.300000
2448972.5 98.500000
2449002.5 114.200000
