VIRGO/SOHO
Version: V8_20220105
Created: 03-Nov-2024
JD        Value 
2450135.0 1360.465000
2450136.0 1360.433000
2450137.0 1360.411000
2450138.0 1360.433000
2450139.0 1360.443000
2450140.0 1360.453000
2450141.0 1360.448000
2450142.0 1360.431000
2450143.0 1360.395000
2450144.0 1360.363000
2450145.0 1360.365000
2450146.0 1360.357000
2450147.0 1360.394000
2450148.0 1360.425000
2450149.0 1360.444000
2450150.0 1360.451000
2450151.0 1360.441000
2450152.0 1360.416000
2450153.0 1360.378000
2450154.0 1360.361000
2450155.0 1360.331000
2450156.0 1360.356000
2450157.0 1360.413000
2450158.0 1360.451000
2450159.0 1360.463000
2450160.0 1360.462000
2450161.0 1360.466000
2450162.0 1360.455000
2450163.0 1360.405000
2450164.0 1360.323000
2450165.0 1360.281000
2450166.0 1360.336000
2450167.0 1360.377000
2450168.0 1360.437000
2450169.0 1360.488000
2450170.0 1360.492000
2450171.0 1360.462000
2450172.0 1360.433000
2450173.0 1360.422000
2450174.0 1360.407000
2450175.0 1360.462000
2450176.0 1360.513000
2450177.0 1360.511000
2450178.0 1360.475000
2450179.0 1360.447000
2450180.0 1360.448000
2450181.0 1360.438000
2450182.0 1360.461000
2450183.0 1360.475000
2450184.0 1360.519000
2450185.0 1360.569000
2450186.0 1360.574000
2450187.0 1360.512000
2450188.0 1360.444000
2450189.0 1360.413000
2450190.0 1360.371000
2450191.0 1360.381000
2450192.0 1360.402000
2450193.0 1360.407000
2450194.0 1360.398000
2450195.0 1360.376000
2450196.0 1360.371000
2450197.0 1360.348000
2450198.0 1360.371000
2450199.0 1360.401000
2450200.0 1360.431000
2450201.0 1360.466000
2450202.0 1360.491000
2450203.0 1360.519000
2450204.0 1360.535000
2450205.0 1360.533000
2450206.0 1360.513000
2450207.0 1360.532000
2450208.0 1360.609000
2450209.0 1360.674000
2450210.0 1360.739000
2450211.0 1360.789000
2450212.0 1360.761000
2450213.0 1360.699000
2450214.0 1360.656000
2450215.0 1360.639000
2450216.0 1360.627000
2450217.0 1360.671000
2450218.0 1360.711000
2450219.0 1360.741000
2450220.0 1360.763000
2450221.0 1360.732000
2450222.0 1360.642000
2450223.0 1360.564000
2450224.0 1360.559000
2450225.0 1360.547000
2450226.0 1360.563000
2450227.0 1360.576000
2450228.0 1360.582000
2450229.0 1360.579000
2450230.0 1360.572000
2450231.0 1360.584000
2450232.0 1360.585000
2450233.0 1360.595000
2450234.0 1360.597000
2450235.0 1360.632000
2450236.0 1360.702000
2450237.0 1360.755000
2450238.0 1360.786000
2450239.0 1360.801000
2450240.0 1360.755000
2450241.0 1360.683000
2450242.0 1360.659000
2450243.0 1360.676000
2450244.0 1360.691000
2450245.0 1360.724000
2450246.0 1360.745000
2450247.0 1360.733000
2450248.0 1360.703000
2450249.0 1360.675000
2450250.0 1360.646000
2450251.0 1360.619000
2450252.0 1360.624000
2450253.0 1360.619000
2450254.0 1360.619000
2450255.0 1360.612000
2450256.0 1360.625000
2450257.0 1360.652000
2450258.0 1360.665000
2450259.0 1360.667000
2450260.0 1360.663000
2450261.0 1360.711000
2450262.0 1360.762000
2450263.0 1360.818000
2450264.0 1360.874000
2450265.0 1360.912000
2450266.0 1360.918000
2450267.0 1360.918000
2450268.0 1360.921000
2450269.0 1360.918000
2450270.0 1360.869000
2450271.0 1360.787000
2450272.0 1360.706000
2450273.0 1360.639000
2450274.0 1360.579000
2450275.0 1360.659000
2450276.0 1360.756000
2450277.0 1360.761000
2450278.0 1360.704000
2450279.0 1360.669000
2450280.0 1360.689000
2450281.0 1360.697000
2450282.0 1360.691000
2450283.0 1360.672000
2450284.0 1360.664000
2450285.0 1360.659000
2450286.0 1360.651000
2450287.0 1360.654000
2450288.0 1360.652000
2450289.0 1360.686000
2450290.0 1360.717000
