;The following data are for ACRIM2_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  2965  1363.764
 2449002.987  1364.722    0.1883
 2449003.993  1364.667    0.1881
 2449004.990  1364.571    0.1878
 2449005.993  1364.581    0.1875
 2449006.996  1364.577    0.1872
 2449008.002  1364.650    0.1870
 2449009.006  1364.623    0.1867
 2449010.010  1364.574    0.1864
 2449011.025  1364.674    0.1861
 2449012.013  1364.691    0.1859
 2449013.015  1364.695    0.1856
 2449014.019  1364.692    0.1853
 2449015.016  1364.667    0.1850
 2449016.017  1364.756    0.1848
 2449017.020  1364.823    0.1845
 2449018.016  1364.759    0.1842
 2449018.995  1364.701    0.1839
 2449020.011  1364.652    0.1837
 2449020.992  1364.560    0.1834
 2449021.991  1364.541    0.1831
 2449022.992  1364.169    0.1828
 2449024.007  1363.801    0.1826
 2449025.006  1363.646    0.1823
 2449025.989  1363.368    0.1820
 2449026.961  1363.085    0.1817
 2449027.967  1363.169    0.1814
 2449029.007  1363.149    0.1812
 2449030.013  1363.454    0.1809
 2449031.019  1363.801    0.1806
 2449032.015  1364.205    0.1803
 2449033.025  1364.392    0.1800
 2449034.023  1364.623    0.1798
 2449035.009  1364.645    0.1795
 2449036.006  1364.436    0.1792
 2449037.002  1364.407    0.1789
 2449037.992  1364.463    0.1786
 2449038.987  1364.353    0.1784
 2449040.006  1364.230    0.1781
 2449040.986  1364.007    0.1778
 2449041.987  1363.881    0.1775
 2449042.987  1363.978    0.1772
 2449044.005  1364.249    0.1769
 2449044.997  1364.305    0.1767
 2449046.008  1364.272    0.1764
 2449046.989  1364.336    0.1761
 2449048.008  1364.167    0.1758
 2449049.013  1364.171    0.1755
 2449050.013  1364.282    0.1752
 2449051.015  1364.170    0.1750
 2449052.017  1364.172    0.1747
 2449053.026  1364.151    0.1744
 2449054.016  1363.841    0.1741
 2449055.004  1363.536    0.1738
 2449056.008  1363.616    0.1735
 2449057.010  1363.830    0.1732
 2449057.981  1364.252    0.1729
 2449059.000  1364.564    0.1727
 2449059.991  1364.697    0.1724
 2449060.982  1364.758    0.1721
 2449061.791  1364.697    0.1718
 2449063.083  1364.688    0.1715
 2449063.976  1364.691    0.1712
 2449064.993  1364.675    0.1709
 2449066.000    -9.000   -9.0000
 2449066.969  1364.609    0.1703
 2449067.999  1364.659    0.1701
 2449068.985  1364.543    0.1698
 2449069.984  1364.486    0.1695
 2449070.986  1364.577    0.1692
 2449071.992  1364.716    0.1689
 2449072.992  1364.836    0.1686
 2449073.998  1364.789    0.1683
 2449074.941  1364.619    0.1680
 2449075.996  1364.608    0.1677
 2449076.994  1364.627    0.1674
 2449077.996  1364.609    0.1671
 2449079.011  1364.434    0.1668
 2449080.012  1364.402    0.1665
 2449081.024  1364.388    0.1662
 2449082.013  1364.320    0.1659
 2449082.911  1364.289    0.1656
 2449084.220  1364.052    0.1654
 2449085.016  1364.044    0.1651
 2449086.014  1364.146    0.1648
 2449087.014  1364.217    0.1645
 2449088.013  1364.419    0.1642
 2449088.997  1364.535    0.1639
 2449089.988  1364.587    0.1636
 2449090.988  1364.616    0.1633
 2449091.982  1364.601    0.1630
 2449092.981  1364.634    0.1627
 2449093.764  1364.568    0.1624
 2449094.887  1364.880    0.1621
 2449095.919  1364.780    0.1618
 2449096.923  1364.845    0.1615
 2449098.031  1364.643    0.1612
 2449099.006  1364.357    0.1609
 2449100.005  1364.494    0.1606
 2449100.999  1364.610    0.1603
 2449101.994  1364.659    0.1600
 2449103.007  1364.877    0.1597
 2449103.808  1365.050    0.1594
