;The following data are for ERBS_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  6860  1364.483
 2446167.112    -9.000   -9.0000
 2446168.112    -9.000   -9.0000
 2446169.112    -9.000   -9.0000
 2446170.112    -9.000   -9.0000
 2446171.112    -9.000   -9.0000
 2446172.112  1364.882    0.1140
 2446173.112    -9.000   -9.0000
 2446174.112    -9.000   -9.0000
 2446175.112    -9.000   -9.0000
 2446176.112    -9.000   -9.0000
 2446177.112    -9.000   -9.0000
 2446178.112    -9.000   -9.0000
 2446179.112    -9.000   -9.0000
 2446180.112    -9.000   -9.0000
 2446181.112    -9.000   -9.0000
 2446182.112    -9.000   -9.0000
 2446183.112    -9.000   -9.0000
 2446184.112    -9.000   -9.0000
 2446185.112    -9.000   -9.0000
 2446186.112  1364.081    0.1139
 2446187.112    -9.000   -9.0000
 2446188.112    -9.000   -9.0000
 2446189.112    -9.000   -9.0000
 2446190.112    -9.000   -9.0000
 2446191.112    -9.000   -9.0000
 2446192.112    -9.000   -9.0000
 2446193.112  1364.180    0.1139
 2446194.112    -9.000   -9.0000
 2446195.112    -9.000   -9.0000
 2446196.112    -9.000   -9.0000
 2446197.112    -9.000   -9.0000
 2446198.112    -9.000   -9.0000
 2446199.112    -9.000   -9.0000
 2446200.112    -9.000   -9.0000
 2446201.112    -9.000   -9.0000
 2446202.112    -9.000   -9.0000
 2446203.112    -9.000   -9.0000
 2446204.112    -9.000   -9.0000
 2446205.112    -9.000   -9.0000
 2446206.112    -9.000   -9.0000
 2446207.112    -9.000   -9.0000
 2446208.112    -9.000   -9.0000
 2446209.112    -9.000   -9.0000
 2446210.112    -9.000   -9.0000
 2446211.112    -9.000   -9.0000
 2446212.112    -9.000   -9.0000
 2446213.112    -9.000   -9.0000
 2446214.112  1364.179    0.1138
 2446215.112    -9.000   -9.0000
 2446216.112    -9.000   -9.0000
 2446217.112    -9.000   -9.0000
 2446218.112    -9.000   -9.0000
 2446219.112    -9.000   -9.0000
 2446220.112    -9.000   -9.0000
 2446221.112    -9.000   -9.0000
 2446222.112    -9.000   -9.0000
 2446223.112    -9.000   -9.0000
 2446224.112    -9.000   -9.0000
 2446225.112    -9.000   -9.0000
 2446226.112    -9.000   -9.0000
 2446227.112    -9.000   -9.0000
 2446228.112    -9.000   -9.0000
 2446229.112    -9.000   -9.0000
 2446230.112    -9.000   -9.0000
 2446231.112    -9.000   -9.0000
 2446232.112    -9.000   -9.0000
 2446233.112    -9.000   -9.0000
 2446234.112  1364.778    0.1137
 2446235.112    -9.000   -9.0000
 2446236.112    -9.000   -9.0000
 2446237.112    -9.000   -9.0000
 2446238.112    -9.000   -9.0000
 2446239.112    -9.000   -9.0000
 2446240.112    -9.000   -9.0000
 2446241.112    -9.000   -9.0000
 2446242.112  1364.677    0.1137
 2446243.112    -9.000   -9.0000
 2446244.112    -9.000   -9.0000
 2446245.112    -9.000   -9.0000
 2446246.112    -9.000   -9.0000
 2446247.112    -9.000   -9.0000
 2446248.112    -9.000   -9.0000
 2446249.112    -9.000   -9.0000
 2446250.112    -9.000   -9.0000
 2446251.112    -9.000   -9.0000
 2446252.112    -9.000   -9.0000
 2446253.112    -9.000   -9.0000
 2446254.112    -9.000   -9.0000
 2446255.112    -9.000   -9.0000
 2446256.112  1363.676    0.1137
 2446257.112    -9.000   -9.0000
 2446258.112    -9.000   -9.0000
 2446259.112    -9.000   -9.0000
 2446260.112    -9.000   -9.0000
 2446261.112    -9.000   -9.0000
 2446262.112    -9.000   -9.0000
 2446263.112    -9.000   -9.0000
 2446264.112    -9.000   -9.0000
 2446265.112    -9.000   -9.0000
 2446266.112    -9.000   -9.0000
 2446267.112    -9.000   -9.0000
 2446268.112    -9.000   -9.0000
 2446269.112    -9.000   -9.0000
 2446270.112  1364.275    0.1136
 2446271.112    -9.000   -9.0000
 2446272.112    -9.000   -9.0000
 2446273.112    -9.000   -9.0000
 2446274.112    -9.000   -9.0000
 2446275.112    -9.000   -9.0000
 2446276.112    -9.000   -9.0000
 2446277.112    -9.000   -9.0000
 2446278.112    -9.000   -9.0000
 2446279.112    -9.000   -9.0000
 2446280.112    -9.000   -9.0000
 2446281.112    -9.000   -9.0000
 2446282.112    -9.000   -9.0000
 2446283.112    -9.000   -9.0000
 2446284.112  1365.074    0.1136
 2446285.112    -9.000   -9.0000
 2446286.112    -9.000   -9.0000
 2446287.112    -9.000   -9.0000
 2446288.112    -9.000   -9.0000
 2446289.112    -9.000   -9.0000
 2446290.112    -9.000   -9.0000
 2446291.112    -9.000   -9.0000
 2446292.112    -9.000   -9.0000
 2446293.112    -9.000   -9.0000
 2446294.112    -9.000   -9.0000
 2446295.112    -9.000   -9.0000
 2446296.112    -9.000   -9.0000
 2446297.112    -9.000   -9.0000
 2446298.112  1364.473    0.1135
 2446299.112    -9.000   -9.0000
 2446300.112    -9.000   -9.0000
 2446301.112    -9.000   -9.0000
 2446302.112    -9.000   -9.0000
 2446303.112    -9.000   -9.0000
 2446304.112    -9.000   -9.0000
 2446305.112    -9.000   -9.0000
 2446306.112    -9.000   -9.0000
 2446307.112    -9.000   -9.0000
 2446308.112    -9.000   -9.0000
 2446309.112    -9.000   -9.0000
 2446310.112    -9.000   -9.0000
 2446311.112    -9.000   -9.0000
 2446312.112  1364.472    0.1134
 2446313.112    -9.000   -9.0000
 2446314.112    -9.000   -9.0000
 2446315.112    -9.000   -9.0000
 2446316.112    -9.000   -9.0000
 2446317.112    -9.000   -9.0000
 2446318.112    -9.000   -9.0000
 2446319.112    -9.000   -9.0000
 2446320.112    -9.000   -9.0000
 2446321.112    -9.000   -9.0000
 2446322.112    -9.000   -9.0000
 2446323.112    -9.000   -9.0000
 2446324.112    -9.000   -9.0000
 2446325.112    -9.000   -9.0000
 2446326.112  1364.671    0.1134
 2446327.112    -9.000   -9.0000
 2446328.112    -9.000   -9.0000
 2446329.112    -9.000   -9.0000
 2446330.112    -9.000   -9.0000
 2446331.112    -9.000   -9.0000
 2446332.112    -9.000   -9.0000
 2446333.112    -9.000   -9.0000
 2446334.112    -9.000   -9.0000
 2446335.112    -9.000   -9.0000
 2446336.112    -9.000   -9.0000
 2446337.112    -9.000   -9.0000
 2446338.112    -9.000   -9.0000
 2446339.112    -9.000   -9.0000
 2446340.112  1364.571    0.1133
 2446341.112    -9.000   -9.0000
 2446342.112    -9.000   -9.0000
 2446343.112    -9.000   -9.0000
 2446344.112    -9.000   -9.0000
 2446345.112    -9.000   -9.0000
 2446346.112    -9.000   -9.0000
 2446347.112    -9.000   -9.0000
 2446348.112    -9.000   -9.0000
 2446349.112    -9.000   -9.0000
 2446350.112    -9.000   -9.0000
 2446351.112    -9.000   -9.0000
 2446352.112    -9.000   -9.0000
 2446353.112    -9.000   -9.0000
 2446354.112  1364.870    0.1133
 2446355.112    -9.000   -9.0000
 2446356.112    -9.000   -9.0000
 2446357.112    -9.000   -9.0000
 2446358.112  1365.269    0.1133
 2446359.112    -9.000   -9.0000
 2446360.112    -9.000   -9.0000
 2446361.112    -9.000   -9.0000
 2446362.112    -9.000   -9.0000
 2446363.112    -9.000   -9.0000
 2446364.112    -9.000   -9.0000
 2446365.112    -9.000   -9.0000
 2446366.112    -9.000   -9.0000
 2446367.112    -9.000   -9.0000
 2446368.112    -9.000   -9.0000
 2446369.112  1365.668    0.1132
 2446370.112    -9.000   -9.0000
 2446371.112    -9.000   -9.0000
 2446372.112    -9.000   -9.0000
 2446373.112    -9.000   -9.0000
 2446374.112    -9.000   -9.0000
 2446375.112    -9.000   -9.0000
 2446376.112    -9.000   -9.0000
 2446377.112    -9.000   -9.0000
 2446378.112    -9.000   -9.0000
 2446379.112    -9.000   -9.0000
 2446380.112    -9.000   -9.0000
 2446381.112    -9.000   -9.0000
 2446382.112  1365.067    0.1132
 2446383.112    -9.000   -9.0000
 2446384.112    -9.000   -9.0000
 2446385.112    -9.000   -9.0000
 2446386.112    -9.000   -9.0000
 2446387.112    -9.000   -9.0000
 2446388.112    -9.000   -9.0000
 2446389.112    -9.000   -9.0000
 2446390.112    -9.000   -9.0000
 2446391.112    -9.000   -9.0000
 2446392.112    -9.000   -9.0000
 2446393.112    -9.000   -9.0000
 2446394.112    -9.000   -9.0000
 2446395.112    -9.000   -9.0000
 2446396.112  1364.666    0.1131
 2446397.112    -9.000   -9.0000
 2446398.112    -9.000   -9.0000
 2446399.112    -9.000   -9.0000
 2446400.112    -9.000   -9.0000
 2446401.112    -9.000   -9.0000
 2446402.112    -9.000   -9.0000
 2446403.112    -9.000   -9.0000
 2446404.112    -9.000   -9.0000
 2446405.112    -9.000   -9.0000
 2446406.112    -9.000   -9.0000
 2446407.112    -9.000   -9.0000
 2446408.112    -9.000   -9.0000
 2446409.112    -9.000   -9.0000
 2446410.112    -9.000   -9.0000
 2446411.112    -9.000   -9.0000
 2446412.112    -9.000   -9.0000
 2446413.112    -9.000   -9.0000
 2446414.112    -9.000   -9.0000
 2446415.112    -9.000   -9.0000
 2446416.112    -9.000   -9.0000
 2446417.112  1364.565    0.1130
 2446418.112    -9.000   -9.0000
 2446419.112    -9.000   -9.0000
 2446420.112    -9.000   -9.0000
 2446421.112    -9.000   -9.0000
 2446422.112    -9.000   -9.0000
 2446423.112    -9.000   -9.0000
 2446424.112  1364.764    0.1130
 2446425.112    -9.000   -9.0000
 2446426.112    -9.000   -9.0000
 2446427.112    -9.000   -9.0000
 2446428.112    -9.000   -9.0000
 2446429.112    -9.000   -9.0000
 2446430.112    -9.000   -9.0000
 2446431.112    -9.000   -9.0000
 2446432.112    -9.000   -9.0000
 2446433.112    -9.000   -9.0000
 2446434.112    -9.000   -9.0000
 2446435.112    -9.000   -9.0000
 2446436.112    -9.000   -9.0000
 2446437.112    -9.000   -9.0000
 2446438.112  1365.063    0.1129
 2446439.112    -9.000   -9.0000
 2446440.112    -9.000   -9.0000
 2446441.112    -9.000   -9.0000
 2446442.112    -9.000   -9.0000
 2446443.112    -9.000   -9.0000
 2446444.112    -9.000   -9.0000
 2446445.112    -9.000   -9.0000
 2446446.112    -9.000   -9.0000
 2446447.112    -9.000   -9.0000
 2446448.112    -9.000   -9.0000
 2446449.112    -9.000   -9.0000
 2446450.112    -9.000   -9.0000
 2446451.112    -9.000   -9.0000
 2446452.112  1365.062    0.1129
 2446453.112    -9.000   -9.0000
 2446454.112    -9.000   -9.0000
 2446455.112    -9.000   -9.0000
 2446456.112    -9.000   -9.0000
 2446457.112    -9.000   -9.0000
 2446458.112    -9.000   -9.0000
 2446459.112    -9.000   -9.0000
 2446460.112    -9.000   -9.0000
 2446461.112    -9.000   -9.0000
 2446462.112    -9.000   -9.0000
 2446463.112    -9.000   -9.0000
 2446464.112    -9.000   -9.0000
 2446465.112    -9.000   -9.0000
 2446466.112  1364.161    0.1128
 2446467.112    -9.000   -9.0000
 2446468.112    -9.000   -9.0000
 2446469.112    -9.000   -9.0000
 2446470.112    -9.000   -9.0000
 2446471.112    -9.000   -9.0000
 2446472.112    -9.000   -9.0000
 2446473.112    -9.000   -9.0000
 2446474.112    -9.000   -9.0000
 2446475.112    -9.000   -9.0000
 2446476.112  1364.460    0.1128
 2446477.112    -9.000   -9.0000
 2446478.112    -9.000   -9.0000
 2446479.112    -9.000   -9.0000
 2446480.112    -9.000   -9.0000
 2446481.112    -9.000   -9.0000
 2446482.112    -9.000   -9.0000
 2446483.112    -9.000   -9.0000
