;The following data are for HF_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  5184  1371.020
 2444004.000    -9.000   -9.0000
 2444005.000  1371.804    0.0383
 2444006.000    -9.000   -9.0000
 2444007.000  1371.881    0.0384
 2444008.000  1372.225    0.0385
 2444009.000  1372.248    0.0385
 2444010.000    -9.000   -9.0000
 2444011.000  1372.376    0.0386
 2444012.000    -9.000   -9.0000
 2444013.000  1372.663    0.0387
 2444014.000  1372.797    0.0388
 2444015.000  1372.741    0.0388
 2444016.000    -9.000   -9.0000
 2444017.000  1372.399    0.0389
 2444018.000  1372.783    0.0390
 2444019.000  1372.957    0.0390
 2444020.000    -9.000   -9.0000
 2444021.000  1372.714    0.0391
 2444022.000  1372.958    0.0392
 2444023.000  1372.902    0.0393
 2444024.000    -9.000   -9.0000
 2444025.000  1372.620    0.0394
 2444026.000  1372.504    0.0394
 2444027.000  1371.749    0.0395
 2444028.000    -9.000   -9.0000
 2444029.000  1371.574    0.0396
 2444030.000  1371.518    0.0396
 2444031.000  1371.582    0.0397
 2444032.000    -9.000   -9.0000
 2444033.000  1371.679    0.0398
 2444034.000  1371.643    0.0398
 2444035.000  1371.307    0.0399
 2444036.000    -9.000   -9.0000
 2444037.000  1371.275    0.0400
 2444038.000  1371.699    0.0400
 2444039.000  1372.043    0.0401
 2444040.000    -9.000   -9.0000
 2444041.000  1372.150    0.0402
 2444042.000  1372.354    0.0402
 2444043.000  1372.528    0.0403
 2444044.000    -9.000   -9.0000
 2444045.000  1372.475    0.0404
 2444046.000  1372.679    0.0404
 2444047.000  1372.833    0.0405
 2444048.000    -9.000   -9.0000
 2444049.000  1372.511    0.0406
 2444050.000  1372.695    0.0406
 2444051.000  1372.908    0.0407
 2444052.000    -9.000   -9.0000
 2444053.000  1372.806    0.0408
 2444054.000  1372.830    0.0408
 2444055.000  1372.904    0.0409
 2444056.000    -9.000   -9.0000
 2444057.000  1372.162    0.0410
 2444058.000  1372.196    0.0410
 2444059.000  1372.179    0.0411
 2444060.000    -9.000   -9.0000
 2444061.000  1372.127    0.0412
 2444062.000  1372.301    0.0412
 2444063.000  1372.475    0.0413
 2444064.000    -9.000   -9.0000
 2444065.000  1372.312    0.0414
 2444066.000  1372.536    0.0414
 2444067.000  1372.700    0.0415
 2444068.000    -9.000   -9.0000
 2444069.000  1372.779    0.0416
 2444070.000  1372.763    0.0416
 2444071.000  1372.667    0.0417
 2444072.000    -9.000   -9.0000
 2444073.000  1372.514    0.0418
 2444074.000  1372.518    0.0418
 2444075.000  1372.422    0.0419
 2444076.000    -9.000   -9.0000
 2444077.000  1372.269    0.0420
 2444078.000  1372.562    0.0420
 2444079.000  1372.666    0.0421
 2444080.000    -9.000   -9.0000
 2444081.000  1372.533    0.0422
 2444082.000  1372.947    0.0422
 2444083.000  1372.911    0.0423
 2444084.000    -9.000   -9.0000
 2444085.000  1372.758    0.0424
 2444086.000  1372.901    0.0424
 2444087.000  1372.895    0.0425
 2444088.000    -9.000   -9.0000
 2444089.000  1372.632    0.0426
 2444090.000  1372.606    0.0426
 2444091.000  1372.730    0.0427
 2444092.000    -9.000   -9.0000
 2444093.000  1372.507    0.0428
 2444094.000  1372.491    0.0428
 2444095.000  1372.614    0.0429
 2444096.000    -9.000   -9.0000
 2444097.000  1371.852    0.0430
 2444098.000  1371.895    0.0430
 2444099.000  1372.009    0.0431
 2444100.000    -9.000   -9.0000
 2444101.000  1371.706    0.0432
 2444102.000  1371.489    0.0432
 2444103.000  1371.453    0.0433
 2444104.000    -9.000   -9.0000
 2444105.000  1371.010    0.0434
 2444106.000  1371.074    0.0434
 2444107.000  1370.777    0.0435
 2444108.000    -9.000   -9.0000
 2444109.000  1370.625    0.0436
 2444110.000  1371.258    0.0436
 2444111.000  1370.981    0.0437
 2444112.000    -9.000   -9.0000
 2444113.000  1370.788    0.0438
 2444114.000  1371.351    0.0438
 2444115.000  1372.484    0.0439
 2444116.000    -9.000   -9.0000
 2444117.000  1372.261    0.0440
 2444118.000  1371.975    0.0440
 2444119.000  1371.358    0.0441
 2444120.000    -9.000   -9.0000
 2444121.000  1370.796    0.0442
 2444122.000  1370.789    0.0442
 2444123.000  1370.792    0.0443
 2444124.000    -9.000   -9.0000
 2444125.000  1371.688    0.0444
 2444126.000  1372.561    0.0444
 2444127.000  1372.514    0.0445
 2444128.000    -9.000   -9.0000
 2444129.000  1372.441    0.0446
 2444130.000  1372.424    0.0446
 2444131.000  1372.398    0.0447
 2444132.000    -9.000   -9.0000
 2444133.000  1372.434    0.0448
 2444134.000  1372.687    0.0448
 2444135.000  1372.701    0.0449
 2444136.000    -9.000   -9.0000
 2444137.000  1372.228    0.0450
 2444138.000  1372.111    0.0450
 2444139.000  1372.024    0.0451
 2444140.000    -9.000   -9.0000
 2444141.000  1371.991    0.0452
 2444142.000  1372.294    0.0452
 2444143.000  1372.237    0.0452
 2444144.000    -9.000   -9.0000
 2444145.000  1371.454    0.0453
 2444146.000  1371.158    0.0454
 2444147.000  1371.411    0.0454
 2444148.000    -9.000   -9.0000
 2444149.000  1372.107    0.0455
 2444150.000  1372.180    0.0456
 2444151.000  1372.543    0.0456
 2444152.000    -9.000   -9.0000
 2444153.000  1371.929    0.0457
 2444154.000  1371.712    0.0458
 2444155.000  1371.635    0.0458
 2444156.000    -9.000   -9.0000
 2444157.000  1371.592    0.0459
 2444158.000  1371.755    0.0460
 2444159.000  1372.078    0.0460
 2444160.000    -9.000   -9.0000
 2444161.000  1372.324    0.0461
 2444162.000  1372.547    0.0462
 2444163.000  1372.270    0.0462
