;The following data are for ACRIM1_corr
;The standard deviation was produced by comparing the  355day filtered TSI data
;  with the sunspot number also filtered with the same smoothing.
;The columns are as follows:  1: julian day, 2: TSI in Wm-2, 3: stddev in Wm-2
;The format is d12.3,f10.3,f10.4 and no or invalid data are given as -9.0  
;the next line contains the number of lines and the offset as i6,f10.3
  3437  1366.698
 2444286.000  1367.988    0.0770
 2444287.000  1368.041    0.0769
 2444288.000  1368.142    0.0768
 2444289.000    -9.000   -9.0000
 2444290.000  1368.179    0.0766
 2444291.000  1368.315    0.0765
 2444292.000  1368.196    0.0764
 2444293.000  1368.081    0.0763
 2444294.000  1367.816    0.0762
 2444295.000  1367.764    0.0761
 2444296.000  1368.057    0.0760
 2444297.000  1368.242    0.0759
 2444298.000  1368.519    0.0758
 2444299.000  1368.688    0.0757
 2444300.000  1368.685    0.0756
 2444301.000  1368.441    0.0755
 2444302.000  1368.467    0.0754
 2444303.000  1368.467    0.0753
 2444304.000  1368.437    0.0752
 2444305.000  1368.238    0.0751
 2444306.000  1368.233    0.0750
 2444307.000  1368.201    0.0749
 2444308.000  1368.025    0.0748
 2444309.000  1368.241    0.0747
 2444310.000  1368.191    0.0746
 2444311.000  1368.385    0.0745
 2444312.000  1368.327    0.0744
 2444313.000  1368.394    0.0743
 2444314.000  1368.222    0.0743
 2444315.000  1368.338    0.0742
 2444316.000  1368.402    0.0741
 2444317.000  1368.459    0.0740
 2444318.000  1368.441    0.0739
 2444319.000  1368.394    0.0738
 2444320.000  1368.183    0.0737
 2444321.000  1368.250    0.0736
 2444322.000  1368.264    0.0735
 2444323.000  1368.222    0.0734
 2444324.000  1368.576    0.0733
 2444325.000  1368.625    0.0732
 2444326.000  1368.641    0.0731
 2444327.000  1368.570    0.0730
 2444328.000  1368.433    0.0729
 2444329.000  1368.125    0.0728
 2444330.000  1367.956    0.0727
 2444331.000  1368.137    0.0726
 2444332.000  1368.199    0.0725
 2444333.000  1368.249    0.0725
 2444334.000  1368.136    0.0724
 2444335.000  1367.699    0.0723
 2444336.000  1366.921    0.0722
 2444337.000  1366.189    0.0721
 2444338.000  1365.856    0.0720
 2444339.000  1366.053    0.0719
 2444340.000  1366.362    0.0718
 2444341.000    -9.000   -9.0000
 2444342.000  1366.712    0.0716
 2444343.000  1367.048    0.0715
 2444344.000  1367.263    0.0715
 2444345.000  1367.678    0.0714
 2444346.000  1368.049    0.0713
 2444347.000  1368.495    0.0712
 2444348.000  1368.700    0.0711
 2444349.000  1368.829    0.0710
 2444350.000  1368.747    0.0709
 2444351.000  1368.360    0.0708
 2444352.000  1367.961    0.0708
 2444353.000  1367.864    0.0707
 2444354.000  1367.845    0.0706
 2444355.000  1368.029    0.0705
 2444356.000  1368.164    0.0704
 2444357.000  1368.245    0.0703
 2444358.000  1368.312    0.0702
 2444359.000  1368.194    0.0702
 2444360.000  1368.116    0.0701
 2444361.000  1367.845    0.0700
 2444362.000  1367.844    0.0699
 2444363.000  1367.283    0.0698
 2444364.000  1367.432    0.0698
 2444365.000  1367.772    0.0697
 2444366.000  1368.011    0.0696
 2444367.000  1368.282    0.0695
 2444368.000  1368.472    0.0694
 2444369.000  1368.631    0.0694
 2444370.000  1368.509    0.0693
 2444371.000    -9.000   -9.0000
 2444372.000  1367.979    0.0691
 2444373.000  1367.906    0.0691
 2444374.000  1367.821    0.0690
 2444375.000  1368.355    0.0689
 2444376.000  1368.440    0.0688
 2444377.000  1368.280    0.0688
 2444378.000  1368.226    0.0687
 2444379.000  1368.120    0.0686
 2444380.000  1367.948    0.0685
 2444381.000  1367.757    0.0685
 2444382.000  1367.471    0.0684
 2444383.000  1367.156    0.0683
 2444384.000  1366.887    0.0683
 2444385.000  1366.786    0.0682
 2444386.000  1366.808    0.0681
 2444387.000  1367.019    0.0681
 2444388.000  1367.244    0.0680
 2444389.000  1367.543    0.0679
 2444390.000  1367.912    0.0679
 2444391.000  1368.039    0.0678
 2444392.000  1367.960    0.0677
 2444393.000  1367.844    0.0677
 2444394.000  1367.873    0.0676
 2444395.000  1367.935    0.0675
 2444396.000  1368.049    0.0675
 2444397.000  1368.074    0.0674
 2444398.000  1368.084    0.0674
 2444399.000  1368.129    0.0673
 2444400.000  1368.305    0.0672
 2444401.000  1368.149    0.0672
 2444402.000  1368.212    0.0671
 2444403.000  1368.098    0.0671
 2444404.000  1368.121    0.0670
 2444405.000  1368.067    0.0670
 2444406.000  1367.949    0.0669
 2444407.000  1368.052    0.0668
 2444408.000  1368.256    0.0668
 2444409.000  1368.544    0.0667
 2444410.000  1368.662    0.0667
 2444411.000  1368.512    0.0666
 2444412.000  1368.273    0.0666
 2444413.000  1367.981    0.0665
 2444414.000  1367.736    0.0665
 2444415.000  1367.704    0.0665
 2444416.000  1367.818    0.0664
 2444417.000  1367.971    0.0664
 2444418.000  1368.116    0.0663
 2444419.000  1368.217    0.0663
 2444420.000  1368.075    0.0662
 2444421.000  1367.946    0.0662
 2444422.000  1368.066    0.0662
 2444423.000  1368.153    0.0661
 2444424.000  1368.016    0.0661
 2444425.000  1367.907    0.0660
 2444426.000  1367.885    0.0660
 2444427.000  1368.012    0.0660
 2444428.000  1368.009    0.0659
 2444429.000  1367.943    0.0659
 2444430.000    -9.000   -9.0000
 2444431.000  1367.946    0.0658
 2444432.000  1367.907    0.0658
 2444433.000  1367.756    0.0658
 2444434.000  1367.555    0.0657
 2444435.000  1367.541    0.0657
 2444436.000  1367.789    0.0657
 2444437.000  1367.774    0.0657
 2444438.000  1367.735    0.0656
 2444439.000  1367.660    0.0656
 2444440.000  1367.633    0.0656
 2444441.000  1367.811    0.0656
 2444442.000  1367.819    0.0655
 2444443.000  1367.951    0.0655
 2444444.000  1368.234    0.0655
 2444445.000  1368.398    0.0655
 2444446.000  1368.997    0.0655
 2444447.000  1369.106    0.0655
 2444448.000  1368.943    0.0654
 2444449.000  1368.739    0.0654
 2444450.000  1368.766    0.0654
 2444451.000    -9.000   -9.0000
 2444452.000  1368.204    0.0654
 2444453.000  1368.122    0.0654
 2444454.000  1368.086    0.0654
 2444455.000  1368.233    0.0654
 2444456.000  1368.300    0.0654
 2444457.000  1368.289    0.0654
 2444458.000  1368.203    0.0654
 2444459.000  1368.168    0.0654
 2444460.000  1368.113    0.0654
 2444461.000  1368.172    0.0654
 2444462.000  1368.231    0.0653
 2444463.000  1368.286    0.0653
 2444464.000  1368.482    0.0653
 2444465.000  1368.443    0.0653
 2444466.000  1368.500    0.0654
 2444467.000  1368.771    0.0654
 2444468.000  1368.678    0.0654
 2444469.000  1368.391    0.0654
 2444470.000  1368.255    0.0654
 2444471.000  1368.230    0.0654
 2444472.000  1368.038    0.0654
 2444473.000  1368.110    0.0654
 2444474.000  1368.278    0.0654
 2444475.000  1368.212    0.0654
 2444476.000  1368.055    0.0654
 2444477.000  1367.994    0.0654
 2444478.000  1367.919    0.0654
 2444479.000  1367.910    0.0654
 2444480.000  1367.775    0.0654
 2444481.000  1367.763    0.0654
 2444482.000  1367.356    0.0654
 2444483.000  1366.839    0.0655
 2444484.000  1366.693    0.0655
 2444485.000    -9.000   -9.0000
 2444486.000  1366.267    0.0655
 2444487.000  1366.280    0.0655
 2444488.000  1366.834    0.0655
 2444489.000  1367.466    0.0655
 2444490.000  1367.978    0.0655
 2444491.000  1368.383    0.0656
 2444492.000  1368.692    0.0656
 2444493.000  1368.575    0.0656
 2444494.000  1368.673    0.0656
 2444495.000  1368.563    0.0656
 2444496.000  1368.395    0.0656
 2444497.000  1368.264    0.0656
 2444498.000  1368.104    0.0657
 2444499.000  1368.200    0.0657
 2444500.000  1368.291    0.0657
 2444501.000  1368.269    0.0657
 2444502.000  1368.434    0.0657
 2444503.000  1368.217    0.0658
 2444504.000  1368.062    0.0658
 2444505.000  1367.923    0.0658
 2444506.000  1367.542    0.0658
 2444507.000  1367.640    0.0658
 2444508.000  1367.765    0.0659
 2444509.000  1368.209    0.0659
 2444510.000  1368.455    0.0659
 2444511.000  1368.381    0.0659
 2444512.000  1368.139    0.0659
 2444513.000  1368.257    0.0660
 2444514.000  1368.120    0.0660
 2444515.000  1368.340    0.0660
 2444516.000  1368.553    0.0660
 2444517.000  1368.585    0.0661
 2444518.000  1368.431    0.0661
 2444519.000  1368.537    0.0661
 2444520.000  1368.535    0.0661
 2444521.000  1368.486    0.0662
 2444522.000  1368.020    0.0662
 2444523.000  1367.724    0.0662
 2444524.000  1367.138    0.0662
 2444525.000  1366.989    0.0663
 2444526.000  1366.981    0.0663
 2444527.000  1367.087    0.0663
 2444528.000  1367.863    0.0663
 2444529.000  1368.384    0.0664
 2444530.000  1368.681    0.0664
 2444531.000  1368.586    0.0664
 2444532.000  1368.170    0.0664
 2444533.000  1367.717    0.0665
 2444534.000  1367.497    0.0665
 2444535.000  1367.160    0.0665
 2444536.000  1367.202    0.0666
 2444537.000  1367.472    0.0666
 2444538.000  1367.970    0.0666
 2444539.000  1367.980    0.0666
 2444540.000  1368.173    0.0667
 2444541.000  1368.230    0.0667
 2444542.000  1368.174    0.0667
 2444543.000  1368.236    0.0668
 2444544.000  1367.879    0.0668
 2444545.000  1367.907    0.0668
 2444546.000  1367.796    0.0669
 2444547.000  1367.445    0.0669
 2444548.000  1367.104    0.0669
 2444549.000  1366.847    0.0670
 2444550.000  1366.616    0.0670
 2444551.000  1366.501    0.0670
 2444552.000  1366.308    0.0671
 2444553.000  1366.384    0.0671
 2444554.000  1366.500    0.0671
 2444555.000  1366.517    0.0672
 2444556.000  1366.737    0.0672
 2444557.000  1366.910    0.0672
 2444558.000    -9.000   -9.0000
 2444559.000    -9.000   -9.0000
 2444560.000    -9.000   -9.0000
 2444561.000    -9.000   -9.0000
 2444562.000  1367.717    0.0674
 2444563.000  1367.869    0.0674
 2444564.000  1367.879    0.0675
 2444565.000  1368.108    0.0675
 2444566.000  1368.234    0.0675
 2444567.000    -9.000   -9.0000
 2444568.000    -9.000   -9.0000
 2444569.000    -9.000   -9.0000
 2444570.000    -9.000   -9.0000
 2444571.000    -9.000   -9.0000
 2444572.000    -9.000   -9.0000
 2444573.000    -9.000   -9.0000
 2444574.000    -9.000   -9.0000
 2444575.000  1368.057    0.0679
 2444576.000  1367.747    0.0679
 2444577.000  1368.026    0.0680
 2444578.000  1368.446    0.0680
 2444579.000  1368.460    0.0681
 2444580.000  1368.537    0.0681
 2444581.000  1368.810    0.0681
 2444582.000  1368.902    0.0682
 2444583.000  1368.908    0.0682
 2444584.000  1368.344    0.0683
 2444585.000  1368.735    0.0683
 2444586.000    -9.000   -9.0000
 2444587.000    -9.000   -9.0000
 2444588.000    -9.000   -9.0000
 2444589.000  1367.776    0.0685
 2444590.000  1365.747    0.0685
 2444591.000  1366.638    0.0686
 2444592.000  1366.398    0.0686
 2444593.000  1366.559    0.0687
 2444594.000    -9.000   -9.0000
 2444595.000  1366.362    0.0688
 2444596.000  1365.404    0.0688
 2444597.000  1366.704    0.0688
 2444598.000  1367.702    0.0689
 2444599.000  1368.324    0.0689
 2444600.000    -9.000   -9.0000
 2444601.000  1368.159    0.0690
 2444602.000  1367.794    0.0691
 2444603.000  1367.712    0.0691
 2444604.000  1368.203    0.0692
 2444605.000  1368.324    0.0692
 2444606.000  1368.624    0.0693
 2444607.000  1369.059    0.0693
 2444608.000  1368.296    0.0694
 2444609.000  1369.237    0.0694
 2444610.000  1368.340    0.0695
 2444611.000  1369.312    0.0695
 2444612.000  1369.625    0.0696
 2444613.000    -9.000   -9.0000
 2444614.000    -9.000   -9.0000
 2444615.000  1369.660    0.0697
 2444616.000  1369.433    0.0698
 2444617.000    -9.000   -9.0000
 2444618.000    -9.000   -9.0000
 2444619.000  1368.996    0.0699
 2444620.000    -9.000   -9.0000
 2444621.000  1368.257    0.0700
 2444622.000  1369.540    0.0701
 2444623.000  1369.387    0.0701
 2444624.000  1369.037    0.0702
 2444625.000  1368.186    0.0702
 2444626.000  1368.895    0.0703
 2444627.000  1369.302    0.0703
 2444628.000  1369.029    0.0704
 2444629.000    -9.000   -9.0000
 2444630.000  1368.442    0.0705
 2444631.000  1369.006    0.0705
 2444632.000  1368.696    0.0706
 2444633.000  1368.950    0.0706
 2444634.000  1368.992    0.0707
 2444635.000  1368.499    0.0707
 2444636.000    -9.000   -9.0000
 2444637.000    -9.000   -9.0000
 2444638.000  1367.797    0.0709
 2444639.000  1367.956    0.0709
 2444640.000  1368.597    0.0710
 2444641.000  1368.579    0.0710
 2444642.000  1366.515    0.0711
 2444643.000  1368.113    0.0711
 2444644.000  1367.967    0.0712
 2444645.000  1368.171    0.0713
 2444646.000  1367.921    0.0713
 2444647.000  1368.290    0.0714
 2444648.000  1368.013    0.0714
 2444649.000  1368.348    0.0715
 2444650.000  1367.830    0.0715
 2444651.000  1368.086    0.0716
 2444652.000  1367.714    0.0716
 2444653.000  1368.085    0.0717
 2444654.000  1367.533    0.0717
 2444655.000  1368.465    0.0718
 2444656.000  1368.440    0.0718
 2444657.000  1368.595    0.0719
 2444658.000  1367.785    0.0719
 2444659.000  1367.644    0.0720
 2444660.000  1368.649    0.0720
 2444661.000  1367.975    0.0721
 2444662.000  1367.370    0.0721
 2444663.000  1367.986    0.0722
 2444664.000  1367.738    0.0722
 2444665.000  1367.706    0.0723
 2444666.000  1368.338    0.0724
 2444667.000  1368.231    0.0724
 2444668.000  1368.009    0.0725
 2444669.000  1368.521    0.0725
 2444670.000  1368.083    0.0726
 2444671.000  1367.744    0.0726
 2444672.000  1367.835    0.0727
 2444673.000  1368.150    0.0727
 2444674.000  1368.156    0.0728
 2444675.000  1368.226    0.0728
 2444676.000  1368.382    0.0729
 2444677.000  1368.571    0.0729
 2444678.000  1368.357    0.0730
 2444679.000  1367.397    0.0730
 2444680.000  1368.138    0.0731
 2444681.000  1368.359    0.0731
 2444682.000  1368.610    0.0732
 2444683.000  1368.002    0.0732
 2444684.000  1368.145    0.0733
 2444685.000  1367.422    0.0733
 2444686.000  1367.664    0.0734
 2444687.000  1368.163    0.0735
 2444688.000  1368.278    0.0735
 2444689.000  1367.823    0.0736
 2444690.000  1368.194    0.0736
 2444691.000  1368.065    0.0737
 2444692.000  1367.973    0.0737
 2444693.000  1368.278    0.0738
 2444694.000  1368.382    0.0738
 2444695.000  1368.821    0.0739
 2444696.000  1368.622    0.0739
 2444697.000  1368.939    0.0740
