ACRIM2/UARS PMOD CORRECTED
Version: ftp.pmodwrc.ch/pub/data/irradiance/acrim/AdditionalFiles accessed 22/07/07
Created: 03-Nov-2024
JD        Value 
2448826.0 1365.000000
2448827.0 1365.000000
2448828.0 1364.000000
2448829.0 1364.000000
2448830.0 1364.000000
2448831.0 1364.000000
2448832.0 1364.000000
2448833.0 1364.000000
2448834.0 1364.000000
2448835.0 1364.000000
2448836.0 1364.000000
2448837.0 1364.000000
2448838.0 1364.000000
2448839.0 1365.000000
2448840.0 1365.000000
2448841.0 1365.000000
2448842.0 1365.000000
2448843.0 1365.000000
2448844.0 1365.000000
2448845.0 1365.000000
2448846.0 1365.000000
2448847.0 1365.000000
2448848.0 1365.000000
2448849.0 1364.000000
2448850.0 1364.000000
2448851.0 1364.000000
2448852.0 1364.000000
2448853.0 1364.000000
2448854.0 1363.000000
2448855.0 1363.000000
2448856.0 1364.000000
2448857.0 1364.000000
2448858.0 1365.000000
2448859.0 1365.000000
2448860.0 1365.000000
2448861.0 1365.000000
2448862.0 1365.000000
2448863.0 1365.000000
2448864.0 1365.000000
2448865.0 1365.000000
2448866.0 1365.000000
2448867.0 1365.000000
2448868.0 1365.000000
2448869.0 1365.000000
2448870.0 1365.000000
2448871.0 1364.000000
2448872.0 1364.000000
2448873.0 1364.000000
2448874.0 1365.000000
2448875.0 1365.000000
2448876.0 1365.000000
2448877.0 1365.000000
2448878.0 1365.000000
2448879.0 0.000000
2448880.0 1365.000000
2448881.0 1365.000000
2448882.0 1364.000000
2448883.0 1365.000000
2448884.0 0.000000
2448885.0 1365.000000
2448886.0 1365.000000
2448887.0 1364.000000
2448888.0 1364.000000
2448889.0 1364.000000
2448890.0 1364.000000
2448891.0 1364.000000
2448892.0 1365.000000
2448893.0 1364.000000
2448894.0 1364.000000
2448895.0 1364.000000
2448896.0 1364.000000
2448897.0 1364.000000
2448898.0 1364.000000
2448899.0 1364.000000
2448900.0 1365.000000
2448901.0 1364.000000
2448902.0 1364.000000
2448903.0 1364.000000
2448904.0 1364.000000
2448905.0 1365.000000
2448906.0 0.000000
2448907.0 0.000000
2448908.0 0.000000
2448909.0 1365.000000
2448910.0 0.000000
2448911.0 1365.000000
2448912.0 1365.000000
2448913.0 1364.000000
2448914.0 1364.000000
2448915.0 1364.000000
2448916.0 1364.000000
2448917.0 1363.000000
2448918.0 1363.000000
2448919.0 1364.000000
2448920.0 1364.000000
2448921.0 1364.000000
2448922.0 1363.000000
2448923.0 1363.000000
2448924.0 1364.000000
2448925.0 1364.000000
2448926.0 1364.000000
2448927.0 1364.000000
2448928.0 1364.000000
2448929.0 1364.000000
2448930.0 1365.000000
2448931.0 1364.000000
2448932.0 1364.000000
2448933.0 1364.000000
2448934.0 1364.000000
2448935.0 1364.000000
2448936.0 1364.000000
2448937.0 1364.000000
2448938.0 1364.000000
2448939.0 1364.000000
2448940.0 1365.000000
2448941.0 1365.000000
2448942.0 1365.000000
2448943.0 1365.000000
2448944.0 1365.000000
2448945.0 1365.000000
2448946.0 1365.000000
2448947.0 1365.000000
2448948.0 1364.000000
2448949.0 1364.000000
2448950.0 1364.000000
2448951.0 1364.000000
2448952.0 1365.000000
2448953.0 1365.000000
2448954.0 1365.000000
2448955.0 1364.000000
2448956.0 1364.000000
2448957.0 1364.000000
2448958.0 1364.000000
2448959.0 1364.000000
2448960.0 1365.000000
2448961.0 1365.000000
2448962.0 1364.000000
2448963.0 1364.000000
2448964.0 1364.000000
2448965.0 1365.000000
2448966.0 1365.000000
2448967.0 1364.000000
2448968.0 1364.000000
2448969.0 1364.000000
2448970.0 1364.000000
2448971.0 1364.000000
2448972.0 1365.000000
2448973.0 1365.000000
2448974.0 1365.000000
2448975.0 1365.000000
2448976.0 1365.000000
2448977.0 1365.000000
2448978.0 1365.000000
2448979.0 1365.000000
2448980.0 1365.000000
2448981.0 1365.000000
2448982.0 1365.000000
2448983.0 1364.000000
2448984.0 1364.000000
2448985.0 1364.000000
2448986.0 1364.000000
2448987.0 1364.000000
2448988.0 1364.000000
2448989.0 1364.000000
2448990.0 1364.000000
2448991.0 1364.000000
2448992.0 1364.000000
2448993.0 1364.000000
2448994.0 1364.000000
2448995.0 1364.000000
2448996.0 1365.000000
2448997.0 0.000000
2448998.0 1365.000000
2448999.0 1365.000000
2449000.0 1365.000000
2449001.0 1365.000000
2449002.0 1365.000000
2449003.0 1365.000000
2449004.0 1365.000000
2449005.0 1365.000000
2449006.0 1365.000000
2449007.0 1365.000000
2449008.0 1365.000000
2449009.0 1365.000000
2449010.0 1365.000000
2449011.0 1365.000000
2449012.0 1365.000000
2449013.0 1365.000000
2449014.0 1365.000000
2449015.0 1365.000000
2449016.0 1365.000000
2449017.0 1365.000000
2449018.0 1365.000000
2449019.0 1365.000000
2449020.0 1365.000000
2449021.0 1365.000000
2449022.0 1365.000000
2449023.0 1364.000000
2449024.0 1364.000000
2449025.0 1364.000000
2449026.0 1363.000000
2449027.0 1363.000000
2449028.0 1363.000000
2449029.0 1363.000000
2449030.0 1363.000000
2449031.0 1364.000000
2449032.0 1364.000000
2449033.0 1364.000000
2449034.0 1365.000000
2449035.0 1365.000000
2449036.0 1364.000000
2449037.0 1364.000000
2449038.0 1364.000000
2449039.0 1364.000000
2449040.0 1364.000000
2449041.0 1364.000000
2449042.0 1364.000000
2449043.0 1364.000000
2449044.0 1364.000000
2449045.0 1364.000000
2449046.0 1364.000000
2449047.0 1364.000000
2449048.0 1364.000000
2449049.0 1364.000000
2449050.0 1364.000000
2449051.0 1364.000000
2449052.0 1364.000000
2449053.0 1364.000000
2449054.0 1364.000000
2449055.0 1364.000000
2449056.0 1364.000000
2449057.0 1364.000000
2449058.0 1364.000000
2449059.0 1365.000000
2449060.0 1365.000000
2449061.0 1365.000000
2449062.0 1365.000000
2449063.0 1365.000000
2449064.0 1365.000000
