ACRIM1/SMM PMOD CORRECTED
Version: ftp.pmodwrc.ch/pub/data/irradiance/acrim/AdditionalFiles accessed 22/07/07
Created: 04-Nov-2022
JD        Value 
2444286.0 1367.988000
2444287.0 1368.041000
2444288.0 1368.142000
2444289.0 NaN
2444290.0 1368.179000
2444291.0 1368.315000
2444292.0 1368.196000
2444293.0 1368.081000
2444294.0 1367.816000
2444295.0 1367.764000
2444296.0 1368.057000
2444297.0 1368.242000
2444298.0 1368.519000
2444299.0 1368.688000
2444300.0 1368.685000
2444301.0 1368.441000
2444302.0 1368.467000
2444303.0 1368.467000
2444304.0 1368.437000
2444305.0 1368.238000
2444306.0 1368.233000
2444307.0 1368.201000
2444308.0 1368.025000
2444309.0 1368.241000
2444310.0 1368.191000
2444311.0 1368.385000
2444312.0 1368.327000
2444313.0 1368.394000
2444314.0 1368.222000
2444315.0 1368.338000
2444316.0 1368.402000
2444317.0 1368.459000
2444318.0 1368.441000
2444319.0 1368.394000
2444320.0 1368.183000
2444321.0 1368.250000
2444322.0 1368.264000
2444323.0 1368.222000
2444324.0 1368.576000
2444325.0 1368.625000
2444326.0 1368.641000
2444327.0 1368.570000
2444328.0 1368.433000
2444329.0 1368.125000
2444330.0 1367.956000
2444331.0 1368.137000
2444332.0 1368.199000
2444333.0 1368.249000
2444334.0 1368.136000
2444335.0 1367.699000
2444336.0 1366.921000
2444337.0 1366.189000
2444338.0 1365.856000
2444339.0 1366.053000
2444340.0 1366.362000
2444341.0 NaN
2444342.0 1366.712000
2444343.0 1367.048000
2444344.0 1367.263000
2444345.0 1367.678000
2444346.0 1368.049000
2444347.0 1368.495000
2444348.0 1368.700000
2444349.0 1368.829000
2444350.0 1368.747000
2444351.0 1368.360000
2444352.0 1367.961000
2444353.0 1367.864000
2444354.0 1367.845000
2444355.0 1368.029000
2444356.0 1368.164000
2444357.0 1368.245000
2444358.0 1368.312000
2444359.0 1368.194000
2444360.0 1368.116000
2444361.0 1367.845000
2444362.0 1367.844000
2444363.0 1367.283000
2444364.0 1367.432000
2444365.0 1367.772000
2444366.0 1368.011000
2444367.0 1368.282000
2444368.0 1368.472000
2444369.0 1368.631000
2444370.0 1368.509000
2444371.0 NaN
2444372.0 1367.979000
2444373.0 1367.906000
2444374.0 1367.821000
2444375.0 1368.355000
2444376.0 1368.440000
2444377.0 1368.280000
2444378.0 1368.226000
2444379.0 1368.120000
2444380.0 1367.948000
2444381.0 1367.757000
2444382.0 1367.471000
2444383.0 1367.156000
2444384.0 1366.887000
2444385.0 1366.786000
2444386.0 1366.808000
2444387.0 1367.019000
2444388.0 1367.244000
2444389.0 1367.543000
2444390.0 1367.912000
2444391.0 1368.039000
2444392.0 1367.960000
2444393.0 1367.844000
2444394.0 1367.873000
2444395.0 1367.935000
2444396.0 1368.049000
2444397.0 1368.074000
2444398.0 1368.084000
2444399.0 1368.129000
2444400.0 1368.305000
2444401.0 1368.149000
2444402.0 1368.212000
2444403.0 1368.098000
2444404.0 1368.121000
2444405.0 1368.067000
2444406.0 1367.949000
2444407.0 1368.052000
2444408.0 1368.256000
2444409.0 1368.544000
2444410.0 1368.662000
2444411.0 1368.512000
2444412.0 1368.273000
2444413.0 1367.981000
2444414.0 1367.736000
2444415.0 1367.704000
2444416.0 1367.818000
2444417.0 1367.971000
2444418.0 1368.116000
2444419.0 1368.217000
2444420.0 1368.075000
2444421.0 1367.946000
2444422.0 1368.066000
2444423.0 1368.153000
2444424.0 1368.016000
2444425.0 1367.907000
2444426.0 1367.885000
2444427.0 1368.012000
2444428.0 1368.009000
2444429.0 1367.943000
2444430.0 NaN
2444431.0 1367.946000
2444432.0 1367.907000
2444433.0 1367.756000
2444434.0 1367.555000
2444435.0 1367.541000
2444436.0 1367.789000
2444437.0 1367.774000
2444438.0 1367.735000
2444439.0 1367.660000
2444440.0 1367.633000
2444441.0 1367.811000
2444442.0 1367.819000
2444443.0 1367.951000
2444444.0 1368.234000
2444445.0 1368.398000
2444446.0 1368.997000
2444447.0 1369.106000
2444448.0 1368.943000
2444449.0 1368.739000
2444450.0 1368.766000
2444451.0 NaN
2444452.0 1368.204000
2444453.0 1368.122000
2444454.0 1368.086000
2444455.0 1368.233000
2444456.0 1368.300000
2444457.0 1368.289000
2444458.0 1368.203000
2444459.0 1368.168000
2444460.0 1368.113000
2444461.0 1368.172000
2444462.0 1368.231000
2444463.0 1368.286000
2444464.0 1368.482000
2444465.0 1368.443000
2444466.0 1368.500000
2444467.0 1368.771000
2444468.0 1368.678000
2444469.0 1368.391000
2444470.0 1368.255000
2444471.0 1368.230000
2444472.0 1368.038000
2444473.0 1368.110000
2444474.0 1368.278000
2444475.0 1368.212000
2444476.0 1368.055000
2444477.0 1367.994000
2444478.0 1367.919000
2444479.0 1367.910000
2444480.0 1367.775000
2444481.0 1367.763000
2444482.0 1367.356000
2444483.0 1366.839000
2444484.0 1366.693000
2444485.0 NaN
2444486.0 1366.267000
2444487.0 1366.280000
2444488.0 1366.834000
2444489.0 1367.466000
2444490.0 1367.978000
2444491.0 1368.383000
2444492.0 1368.692000
2444493.0 1368.575000
2444494.0 1368.673000
2444495.0 1368.563000
2444496.0 1368.395000
2444497.0 1368.264000
2444498.0 1368.104000
2444499.0 1368.200000
2444500.0 1368.291000
2444501.0 1368.269000
2444502.0 1368.434000
2444503.0 1368.217000
2444504.0 1368.062000
2444505.0 1367.923000
2444506.0 1367.542000
2444507.0 1367.640000
2444508.0 1367.765000
2444509.0 1368.209000
2444510.0 1368.455000
2444511.0 1368.381000
2444512.0 1368.139000
2444513.0 1368.257000
2444514.0 1368.120000
2444515.0 1368.340000
2444516.0 1368.553000
2444517.0 1368.585000
2444518.0 1368.431000
2444519.0 1368.537000
2444520.0 1368.535000
2444521.0 1368.486000
2444522.0 1368.020000
2444523.0 1367.724000
2444524.0 1367.138000
2444525.0 1366.989000
2444526.0 1366.981000
2444527.0 1367.087000
2444528.0 1367.863000
2444529.0 1368.384000
2444530.0 1368.681000
2444531.0 1368.586000
2444532.0 1368.170000
2444533.0 1367.717000
2444534.0 1367.497000
2444535.0 1367.160000
2444536.0 1367.202000
2444537.0 1367.472000
2444538.0 1367.970000
2444539.0 1367.980000
2444540.0 1368.173000
2444541.0 1368.230000
2444542.0 1368.174000
2444543.0 1368.236000
2444544.0 1367.879000
2444545.0 1367.907000
2444546.0 1367.796000
2444547.0 1367.445000
2444548.0 1367.104000
2444549.0 1366.847000
2444550.0 1366.616000
2444551.0 1366.501000
2444552.0 1366.308000
2444553.0 1366.384000
2444554.0 1366.500000
2444555.0 1366.517000
2444556.0 1366.737000
2444557.0 1366.910000
2444558.0 NaN
2444559.0 NaN
2444560.0 NaN
2444561.0 NaN
2444562.0 1367.717000
2444563.0 1367.869000
2444564.0 1367.879000
2444565.0 1368.108000
2444566.0 1368.234000
2444567.0 NaN
2444568.0 NaN
2444569.0 NaN
2444570.0 NaN
2444571.0 NaN
2444572.0 NaN
2444573.0 NaN
2444574.0 NaN
2444575.0 1368.057000
2444576.0 1367.747000
2444577.0 1368.026000
2444578.0 1368.446000
2444579.0 1368.460000
2444580.0 1368.537000
2444581.0 1368.810000
2444582.0 1368.902000
2444583.0 1368.908000
2444584.0 1368.344000
2444585.0 1368.735000
2444586.0 NaN
2444587.0 NaN
2444588.0 NaN
2444589.0 1367.776000
2444590.0 1365.747000
2444591.0 1366.638000
2444592.0 1366.398000
2444593.0 1366.559000
2444594.0 NaN
2444595.0 1366.362000
2444596.0 1365.404000
2444597.0 1366.704000
2444598.0 1367.702000
2444599.0 1368.324000
2444600.0 NaN
2444601.0 1368.159000
2444602.0 1367.794000
2444603.0 1367.712000
2444604.0 1368.203000
2444605.0 1368.324000
2444606.0 1368.624000
2444607.0 1369.059000
2444608.0 1368.296000
2444609.0 1369.237000
2444610.0 1368.340000
2444611.0 1369.312000
2444612.0 1369.625000
2444613.0 NaN
2444614.0 NaN
2444615.0 1369.660000
2444616.0 1369.433000
2444617.0 NaN
2444618.0 NaN
2444619.0 1368.996000
2444620.0 NaN
2444621.0 1368.257000
2444622.0 1369.540000
2444623.0 1369.387000
2444624.0 1369.037000
2444625.0 1368.186000
2444626.0 1368.895000
2444627.0 1369.302000
2444628.0 1369.029000
2444629.0 NaN
2444630.0 1368.442000
2444631.0 1369.006000
2444632.0 1368.696000
2444633.0 1368.950000
2444634.0 1368.992000
2444635.0 1368.499000
2444636.0 NaN
2444637.0 NaN
2444638.0 1367.797000
2444639.0 1367.956000
2444640.0 1368.597000
2444641.0 1368.579000
2444642.0 1366.515000
2444643.0 1368.113000
2444644.0 1367.967000
2444645.0 1368.171000
2444646.0 1367.921000
2444647.0 1368.290000
2444648.0 1368.013000
2444649.0 1368.348000
2444650.0 1367.830000
2444651.0 1368.086000
2444652.0 1367.714000
2444653.0 1368.085000
2444654.0 1367.533000
2444655.0 1368.465000
2444656.0 1368.440000
2444657.0 1368.595000
2444658.0 1367.785000
2444659.0 1367.644000
2444660.0 1368.649000
2444661.0 1367.975000
2444662.0 1367.370000
2444663.0 1367.986000
2444664.0 1367.738000
2444665.0 1367.706000
2444666.0 1368.338000
2444667.0 1368.231000
2444668.0 1368.009000
2444669.0 1368.521000
2444670.0 1368.083000
2444671.0 1367.744000
2444672.0 1367.835000
2444673.0 1368.150000
2444674.0 1368.156000
2444675.0 1368.226000
2444676.0 1368.382000
2444677.0 1368.571000
2444678.0 1368.357000
2444679.0 1367.397000
2444680.0 1368.138000
2444681.0 1368.359000
2444682.0 1368.610000
2444683.0 1368.002000
2444684.0 1368.145000
2444685.0 1367.422000
2444686.0 1367.664000
2444687.0 1368.163000
2444688.0 1368.278000
2444689.0 1367.823000
2444690.0 1368.194000
2444691.0 1368.065000
2444692.0 1367.973000
2444693.0 1368.278000
2444694.0 1368.382000
2444695.0 1368.821000
2444696.0 1368.622000
2444697.0 1368.939000
2444698.0 1369.008000
2444699.0 1368.981000
2444700.0 1368.868000
2444701.0 1368.249000
2444702.0 1368.196000
2444703.0 1368.044000
2444704.0 1368.030000
2444705.0 1367.354000
2444706.0 1367.669000
2444707.0 1366.838000
2444708.0 1366.885000
2444709.0 1367.435000
2444710.0 1367.981000
2444711.0 1368.293000
2444712.0 1367.431000
2444713.0 1367.555000
2444714.0 1368.215000
2444715.0 1368.184000
2444716.0 1368.305000
2444717.0 1368.259000
2444718.0 1367.687000
2444719.0 1367.998000
2444720.0 1368.482000
2444721.0 1368.819000
2444722.0 1368.604000
2444723.0 1368.445000
2444724.0 1368.458000
2444725.0 1368.687000
2444726.0 1368.385000
2444727.0 1369.167000
2444728.0 1368.717000
2444729.0 1368.145000
2444730.0 1368.068000
2444731.0 1367.530000
2444732.0 1368.081000
2444733.0 1368.021000
2444734.0 1368.275000
2444735.0 1368.173000
2444736.0 1367.591000
2444737.0 NaN
2444738.0 1368.046000
2444739.0 1368.604000
2444740.0 1367.702000
2444741.0 NaN
2444742.0 NaN
2444743.0 1368.021000
2444744.0 NaN
2444745.0 1367.204000
2444746.0 NaN
2444747.0 1368.258000
2444748.0 1368.042000
2444749.0 NaN
2444750.0 1368.951000
2444751.0 1368.378000
2444752.0 1368.087000
2444753.0 1368.128000
2444754.0 1368.500000
2444755.0 1368.606000
2444756.0 1367.844000
2444757.0 1368.201000
2444758.0 1367.301000
2444759.0 1368.164000
2444760.0 1368.839000
2444761.0 1368.300000
2444762.0 NaN
2444763.0 1368.382000
2444764.0 1368.251000
2444765.0 1368.594000
2444766.0 1368.055000
2444767.0 1368.133000
2444768.0 1367.978000
2444769.0 1368.162000
2444770.0 1367.945000
2444771.0 1367.708000
2444772.0 1367.685000
2444773.0 1367.607000
2444774.0 1367.960000
2444775.0 1368.300000
2444776.0 1368.501000
2444777.0 1368.122000
2444778.0 1368.205000
2444779.0 1368.012000
2444780.0 1367.674000
2444781.0 1367.649000
2444782.0 1368.056000
2444783.0 1367.389000
2444784.0 1367.522000
2444785.0 1367.608000
2444786.0 1367.595000
2444787.0 1367.205000
2444788.0 1366.868000
2444789.0 1367.768000
2444790.0 1367.992000
2444791.0 1368.541000
2444792.0 1368.480000
2444793.0 1368.072000
2444794.0 1367.954000
2444795.0 1368.170000
2444796.0 1368.286000
2444797.0 1367.860000
2444798.0 1368.242000
2444799.0 1367.830000
2444800.0 1367.848000
2444801.0 1367.952000
2444802.0 1367.493000
2444803.0 1367.844000
2444804.0 1366.247000
2444805.0 1367.517000
2444806.0 1367.096000
2444807.0 1367.206000
2444808.0 1366.140000
2444809.0 1365.439000
2444810.0 1365.212000
2444811.0 1365.032000
2444812.0 1365.275000
2444813.0 NaN
2444814.0 NaN
2444815.0 NaN
2444816.0 NaN
2444817.0 NaN
2444818.0 1367.448000
2444819.0 1367.648000
2444820.0 1367.582000
2444821.0 1367.250000
2444822.0 1367.299000
2444823.0 1367.210000
2444824.0 1367.034000
2444825.0 1366.816000
2444826.0 1366.844000
2444827.0 1367.214000
2444828.0 1367.161000
2444829.0 1368.002000
2444830.0 1368.525000
2444831.0 1368.620000
2444832.0 1367.999000
2444833.0 1367.839000
2444834.0 1367.562000
2444835.0 1367.703000
2444836.0 1367.006000
2444837.0 1367.429000
2444838.0 1368.082000
2444839.0 1367.881000
2444840.0 1367.567000
2444841.0 1367.579000
2444842.0 1367.650000
2444843.0 1367.307000
2444844.0 1367.429000
2444845.0 1368.071000
2444846.0 1368.080000
2444847.0 1368.371000
2444848.0 1368.246000
2444849.0 1368.582000
2444850.0 1368.478000
2444851.0 1368.353000
2444852.0 1367.981000
2444853.0 1367.795000
2444854.0 1367.110000
2444855.0 1367.228000
2444856.0 1365.496000
2444857.0 1367.582000
2444858.0 1368.020000
2444859.0 NaN
2444860.0 1367.525000
2444861.0 NaN
2444862.0 1368.141000
2444863.0 1368.406000
2444864.0 1368.121000
2444865.0 1368.275000
2444866.0 1367.708000
2444867.0 1367.711000
2444868.0 1368.286000
2444869.0 1368.557000
2444870.0 1368.124000
2444871.0 1368.107000
2444872.0 1368.694000
2444873.0 1368.802000
2444874.0 1368.668000
2444875.0 1369.081000
2444876.0 1368.320000
2444877.0 1368.041000
2444878.0 1368.266000
2444879.0 1368.618000
2444880.0 1368.506000
2444881.0 1368.768000
2444882.0 1368.469000
2444883.0 1368.531000
2444884.0 1367.071000
2444885.0 1367.949000
2444886.0 1368.351000
2444887.0 1368.139000
2444888.0 1368.159000
2444889.0 1367.550000
2444890.0 1367.099000
2444891.0 1366.646000
2444892.0 1366.192000
2444893.0 1366.280000
2444894.0 1366.174000
2444895.0 1366.148000
2444896.0 1366.468000
2444897.0 1366.809000
2444898.0 1367.303000
2444899.0 1367.949000
2444900.0 1368.618000
2444901.0 1368.665000
2444902.0 1368.553000
2444903.0 1368.636000
2444904.0 1368.918000
2444905.0 1368.796000
2444906.0 1369.072000
2444907.0 1368.804000
2444908.0 1368.748000
2444909.0 1368.529000
2444910.0 1367.815000
2444911.0 1367.509000
2444912.0 1367.310000
2444913.0 1367.167000
2444914.0 1367.754000
2444915.0 1368.188000
2444916.0 1368.247000
2444917.0 1368.468000
2444918.0 1368.587000
2444919.0 1367.599000
2444920.0 1368.143000
2444921.0 1367.835000
2444922.0 1367.436000
2444923.0 1368.124000
2444924.0 1368.380000
2444925.0 1368.623000
2444926.0 1368.784000
2444927.0 1368.122000
2444928.0 1368.133000
2444929.0 1368.314000
2444930.0 1368.421000
2444931.0 1368.238000
2444932.0 1368.814000
2444933.0 1369.253000
2444934.0 1368.018000
2444935.0 1368.366000
2444936.0 1368.579000
2444937.0 1368.568000
2444938.0 1367.925000
2444939.0 1368.147000
2444940.0 1368.609000
2444941.0 1368.602000
2444942.0 1368.857000
2444943.0 NaN
2444944.0 NaN
2444945.0 1368.550000
2444946.0 1367.476000
2444947.0 1367.246000
2444948.0 1366.498000
2444949.0 1366.849000
2444950.0 1367.563000
2444951.0 1367.846000
2444952.0 1368.239000
2444953.0 1368.480000
2444954.0 1368.393000
2444955.0 1368.358000
2444956.0 1368.002000
2444957.0 1368.423000
2444958.0 1368.344000
2444959.0 1368.223000
2444960.0 1368.215000
2444961.0 1368.600000
2444962.0 1368.227000
2444963.0 1367.957000
2444964.0 1368.114000
2444965.0 1368.046000
2444966.0 1368.106000
2444967.0 1368.410000
2444968.0 NaN
2444969.0 NaN
2444970.0 NaN
2444971.0 1368.816000
2444972.0 1368.530000
2444973.0 1368.521000
2444974.0 1368.789000
2444975.0 1368.521000
2444976.0 1368.705000
2444977.0 1368.709000
2444978.0 1368.275000
2444979.0 1368.660000
2444980.0 1368.143000
2444981.0 1368.611000
2444982.0 1368.700000
2444983.0 1368.055000
2444984.0 1368.356000
2444985.0 1367.859000
2444986.0 1367.906000
2444987.0 1368.148000
2444988.0 1368.177000
2444989.0 1368.523000
2444990.0 1368.774000
2444991.0 1368.748000
2444992.0 1368.673000
2444993.0 1368.948000
2444994.0 1368.571000
2444995.0 1368.850000
2444996.0 1368.798000
2444997.0 1368.852000
2444998.0 1368.346000
2444999.0 1366.987000
2445000.0 1366.730000
2445001.0 1365.785000
2445002.0 1366.794000
2445003.0 1366.988000
2445004.0 1367.582000
2445005.0 1367.575000
2445006.0 1368.002000
2445007.0 1367.543000
2445008.0 1366.994000
2445009.0 1366.178000
2445010.0 1366.409000
2445011.0 1365.609000
2445012.0 1365.941000
2445013.0 1366.604000
2445014.0 1366.877000
2445015.0 1367.172000
2445016.0 1367.417000
2445017.0 1367.255000
2445018.0 1366.635000
2445019.0 1367.334000
2445020.0 1366.917000
2445021.0 1367.560000
2445022.0 1367.728000
2445023.0 1367.948000
2445024.0 1368.283000
2445025.0 1368.342000
2445026.0 1368.411000
2445027.0 1368.526000
2445028.0 1368.228000
2445029.0 1367.705000
2445030.0 1367.153000
2445031.0 1366.808000
2445032.0 1367.742000
2445033.0 1367.771000
2445034.0 1367.645000
2445035.0 1368.146000
2445036.0 1368.291000
2445037.0 1368.412000
2445038.0 1368.286000
2445039.0 1368.309000
2445040.0 1368.096000
2445041.0 1367.997000
2445042.0 1367.952000
2445043.0 1367.772000
2445044.0 1365.475000
2445045.0 1364.543000
2445046.0 1365.046000
2445047.0 1364.910000
2445048.0 1366.002000
2445049.0 1366.768000
2445050.0 1367.172000
2445051.0 1367.516000
2445052.0 1367.369000
2445053.0 1366.882000
2445054.0 1367.040000
2445055.0 1366.926000
2445056.0 1366.855000
2445057.0 1366.819000
2445058.0 1367.474000
2445059.0 1367.640000
2445060.0 1367.616000
2445061.0 1368.362000
2445062.0 1368.444000
2445063.0 1368.648000
2445064.0 1368.334000
2445065.0 1368.118000
2445066.0 1368.102000
2445067.0 1368.306000
2445068.0 1368.565000
2445069.0 1368.104000
2445070.0 1367.898000
2445071.0 1367.548000
2445072.0 1367.539000
2445073.0 1367.461000
